Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1563	Félix Sánchez	DOM	49.24 (1 h6)	47.76 (1 h1)	47.63 (1)	Gold		
2	3258	Michael Tinsley	USA	49.13 (1 h2)	48.18 (1 h3)	47.91 (2)	Silver		
3	2743	Javier Culson	PUR	48.33 (1 h4)	47.93 (1 h2)	48.10 (3)	Bronze		
4	1812	Dai Greene	GBR	48.98 (1 h3)	48.19 (4 h1)	48.24 (4)			
5	3255	Angelo Taylor	USA	49.29 (1 h5)	47.95 (2 h2)	48.25 (5)			
6	3043	Jehue Gordon	TTO	49.37 (2 h5)	47.96 (2 h1)	48.86 (6)			
7	2176	Leford Green	JAM	49.30 (2 h2)	48.61 (2 h3)	49.12 (7)			
8	3212	Kerron Clement	USA	48.48 (2 h4)	48.12 (3 h1)	49.15 (8)			
3 h2 r2/3	1465	Omar Cisneros	CUB	48.63 (3 h4)	48.23 (3 h2)	–			
3 h3 r2/3	2932	Brent Larue	SLO	49.38 (4 h3)	49.45 (3 h3)	–			
4 h2 r2/3	2947	Emir Bekrić	SRB	49.21 (2 h3)	49.62 (4 h2)	–			
4 h3 r2/3	1843	Rhys Williams	GBR	49.17 (5 h4)	49.63 (4 h3)	–			
5 h1 r2/3	2910	Mamadou Kassé Hanne	SEN	49.63 (3 h6)	48.80 (5 h1)	–			
5 h2 r2/3	1155	Kenneth Medwood	BIZ	49.78 (4 h1)	49.87 (5 h2)	–			
5 h3 r2/3	1039	Brendan Cole	AUS	49.24 (2 h1)	49.65 (5 h3)	–			
6 h1 r2/3	1135	Michael Bultheel	BEL	49.18 (6 h4)	49.10 (6 h1)	–			
6 h2 r2/3	3140	Stanislav Melnykov	UKR	50.13 (3 h5)	50.19 (6 h2)	–			
6 h3 r2/3	2128	José Reynaldo Bencosme de Leon	ITA	49.35 (3 h3)	50.07 (6 h3)	–			
7 h1 r2/3	2741	Eric Alejandro	PUR	49.39 (4 h2)	49.15 (7 h1)	–			
7 h2 r2/3	1065	Tristan Thomas	AUS	49.13 (4 h4)	50.55 (7 h2)	–			
7 h3 r2/3	1483	Amaurys Valle	CUB	49.19 (1 h1)	50.48 (7 h3)	–			
8 h1 r2/3	2528	Kurt Couto	MOZ	49.31 (3 h2)	51.55 (8 h1)	–			
AC h2 r2/3	1811	Jack Green	GBR	49.49 (2 h6)	– (AC h2)	–			
AC h3 r2/3	2571	Amaechi Morton	NGR	49.34 (3 h1)	– (AC h3)	–
