Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3059	Kerron Clement	USA	49.17 (3 h1)	48.26 (1 h1)	47.73 (1)	Gold		
2	2699	Boniface Tumuti	KEN	48.91 (2 h1)	48.85 (2 h1)	47.78 (2)	Silver		
3	2999	Yasmani Copello	TUR	49.52 (1 h2)	48.61 (3 h2)	47.92 (3)	Bronze		
4	2581	Thomas Barr	IRL	48.93 (2 h4)	48.39 (1 h3)	47.97 (4)			
5	2631	Annsert Whyte	JAM	48.37 (1 h5)	48.32 (1 h2)	48.07 (5)			
6	2382	Rasmus Mägi	EST	48.55 (3 h3)	48.64 (4 h2)	48.40 (6)			
7	2686	Aron Koech	KEN	48.77 (1 h6)	48.49 (2 h3)	49.09 (7)			
AC r3/3	2872	Javier Culson	PUR	48.53 (2 h3)	48.46 (2 h2)	– (AC)			
3 h1 r2/3	2357	Sergio Fernández	ESP	49.31 (5 h4)	48.87 (3 h1)	–			
3 h3 r2/3	3095	Byron Robinson	USA	48.98 (3 h5)	48.65 (3 h3)	–			
4 h1 r2/3	2008	Abdelmalik Lahoulou	ALG	48.62 (1 h1)	49.08 (4 h1)	–			
4 h3 r2/3	2807	Karsten Warholm	NOR	48.49 (1 h3)	48.81 (4 h3)	–			
5 h1 r2/3	2621	Jaheel Hyde	JAM	49.24 (4 h4)	49.17 (5 h1)	–			
5 h2 r2/3	2913	L. J. van Zyl	RSA	49.12 (2 h6)	49.00 (5 h2)	–			
5 h3 r2/3	2090	Michael Bultheel	BEL	49.37 (5 h5)	49.46 (5 h3)	–			
6 h1 r2/3	2652	Keisuke Nozawa	JPN	48.62 (1 h4)	49.20 (6 h1)	–			
6 h2 r2/3	2261	Jordin Andrade	CPV	49.35 (4 h6)	49.32 (6 h2)	–			
6 h3 r2/3	3042	Andrés Silva	URU	49.21 (3 h6)	49.75 (6 h3)	–			
7 h1 r2/3	2826	Eric Cray	PHI	49.05 (3 h4)	49.37 (7 h1)	–			
7 h2 r2/3	2405	Oskari Mörö	FIN	49.04 (4 h5)	49.75 (7 h2)	–			
7 h3 r2/3	2869	Eric Alejandro	PUR	49.54 (2 h2)	49.95 (7 h3)	–			
8 h1 r2/3	2457	Jack Green	GBR	48.96 (2 h5)	49.54 (8 h1)	–			
8 h2 r2/3	2155	Mahau Suguimati	BRA	49.77 (3 h2)	49.77 (8 h2)	–			
AC h3 r2/3	2615	Roxroy Cato	JAM	48.56 (4 h3)	– (AC h3)	–
