Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2843	Nataliya Antyukh	RUS	53.90 (1 h2)	53.33 (1 h1)	52.70 (1)	Gold		
2	3285	Lashinda Demus	USA	54.6 (1 h3)	54.08 (1 h2)	52.77 (2)	Silver		
3	1532	Zuzana Hejnová	CZE	53.96 (1 h1)	53.62 (2 h1)	53.38 (3)	Bronze		
4	2206	Kaliese Spencer	JAM	54.02 (2 h2)	54.20 (2 h2)	53.66 (4)			
5	3310	Georganne Moline	USA	54.31 (1 h4)	54.74 (2 h3)	53.92 (5)			
6	3272	T'erea Brown	USA	54.72 (2 h1)	54.21 (3 h1)	55.07 (6)			
7	1540	Denisa Rosolová	CZE	55.42 (4 h3)	54.87 (3 h3)	55.27 (7)			
8	2583	AJ Odumosu	NGR	54.93 (3 h2)	54.4 (1 h3)	55.31 (8)			
3 h2 r2/3	1877	Perri Shakes-Drayton	GBR	54.62 (1 h5)	55.19 (3 h2)	–			
4 h1 r2/3	1146	Élodie Ouédraogo	BEL	55.89 (4 h4)	55.20 (4 h1)	–			
4 h2 r2/3	3197	Hanna Yaroshchuk	UKR	54.81 (3 h5)	55.51 (4 h2)	–			
4 h3 r2/3	2851	Yelena Churakova	RUS	55.26 (3 h3)	55.7 (4 h3)	–			
5 h1 r2/3	2214	Nickiesha Wilson	JAM	55.53 (2 h4)	55.77 (5 h1)	–			
5 h2 r2/3	2852	Irina Davydova	RUS	55.55 (3 h4)	55.86 (5 h2)	–			
5 h3 r2/3	2208	Melaine Walker	JAM	54.78 (2 h5)	55.74 (5 h3)	–			
6 h1 r2/3	2473	Hayat Lambarki	MAR	55.58 (4 h5)	56.18 (6 h1)	–			
6 h2 r2/3	1551	Sara Slott Petersen	DEN	56.01 (5 h3)	56.21 (6 h2)	–			
6 h3 r2/3	1850	Eilidh Child	GBR	56.14 (3 h1)	56.03 (6 h3)	–			
7 h1 r2/3	2720	Vera Barbosa	POR	55.22 (2 h3)	56.27 (7 h1)	–			
7 h2 r2/3	2688	Anna Jesień	POL	55.44 (4 h2)	56.28 (7 h2)	–			
7 h3 r2/3	2256	Satomi Kubokura	JPN	55.85 (5 h5)	56.25 (7 h3)	–			
8 h1 r2/3	1068	Laura Boden	AUS	56.27 (5 h2)	56.66 (8 h1)	–			
8 h2 r2/3	1322	Sarah Wells	CAN	56.47 (4 h1)	56.71 (8 h2)	–			
5 h1 r1/3	2441	Eglė Staišiūnaitė	LTU	57.79 (5 h1)	–	–	
AC	3013	Ghfran Mouhamad	SYR	58.09 (AC h2)	–	–		DQ
AC	3195	Hanna Titimets	UKR	55.08 (AC h3)	55.10 (AC h3)	–		DQ
