Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2132	Melaine Walker	JAM	54.46 (1 h3)	54.20 (1 h2)	52.64 (1)	Gold		
2	3271	Sheena Tosta	USA	56.12 (5 h2)	54.07 (1 h1)	53.70 (2)	Silver		
3	1847	Tasha Danvers	GBR	55.19 (1 h2)	54.31 (2 h1)	53.84 (3)	Bronze		
4	3058	Anastasiya Rabcheniuk	UKR	55.18 (2 h3)	54.60 (2 h2)	53.96 (4)			
5	2586	Anna Jesień	POL	55.35 (2 h4)	54.36 (3 h1)	54.29 (5)			
6	2844	Yekaterina Bikert	RUS	55.15 (1 h4)	54.38 (4 h1)	54.96 (6)			
7	1514	Zuzana Hejnová	CZE	55.91 (3 h4)	55.17 (4 h2)	54.97 (7)			
8	3258	Tiffany Ross-Williams	USA	55.51 (1 h1)	54.99 (3 h2)	57.55 (8)			
5 h1 r2/3	2137	Nickiesha Wilson	JAM	55.75 (3 h2)	54.67 (5 h1)	–			
5 h2 r2/3	1281	Aïssata Soulama	BUR	56.37 (5 h3)	55.69 (5 h2)	–			
6 h1 r2/3	2843	Anastasiya Ott	RUS	55.34 (2 h2)	54.74 (6 h1)	–			
6 h2 r2/3	2821	Irina Obedina	RUS	55.71 (2 h1)	55.69 (6 h2)	–			
7 h1 r2/3	2195	Satomi Kubokura	JPN	55.82 (3 h1)	56.69 (7 h1)	–			
7 h2 r2/3	3177	Queen Harrison	USA	55.96 (4 h3)	55.88 (7 h2)	–			
8 h1 r2/3	2707	Angela Moroșanu	ROU	56.07 (4 h2)	57.67 (8 h1)	–			
8 h2 r2/3	1267	Tsvetelina Kirilova	BUL	55.22 (3 h3)	55.97 (8 h2)	–
