Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1361	Dalilah Muhammad	USA	55.33 (1 h5)	53.89 (1 h3)	53.13 (1)	Gold		
2	603	Sara Slott Petersen	DEN	55.2 (1 h4)	54.55 (2 h3)	53.55 (2)	Silver		
3	1373	Ashley Spencer	USA	55.12 (1 h3)	54.87 (1 h2)	53.72 (3)	Bronze		
4	591	Zuzana Hejnová	CZE	55.54 (2 h1)	54.55 (1 h1)	53.92 (4)			
5	904	Ristananna Tracey	JAM	54.88 (1 h1)	54.8 (2 h1)	54.15 (5)			
6	896	Leah Nugent	JAM	55.66 (2 h3)	54.98 (3 h3)	54.45 (6)			
7	910	Janieve Russell	JAM	56.13 (2 h2)	54.92 (2 h2)	54.56 (7)			
8	701	Eilidh Doyle	GBR	55.46 (1 h6)	54.99 (3 h2)	54.61 (8)			
3 h1 r2/3	1111	Joanna Linkiewicz	POL	56.07 (1 h2)	55.35 (3 h1)	–			
4 h1 r2/3	604	Stina Troest	DEN	56.06 (4 h1)	56.00 (4 h1)	–			
4 h2 r2/3	1311	Hanna Titimets	UKR	56.24 (3 h5)	55.27 (4 h2)	–			
4 h3 r2/3	499	Sage Watson	CAN	55.93 (2 h6)	55.44 (4 h3)	–			
5 h1 r2/3	1357	Sydney McLaughlin	USA	56.32 (5 h1)	56.22 (5 h1)	–			
5 h2 r2/3	870	Yadisleidy Pedroso	ITA	55.91 (4 h4)	55.78 (5 h2)	–			
5 h3 r2/3	1141	Grace Claxton	PUR	56.4 (3 h2)	55.85 (5 h3)	–			
6 h1 r2/3	483	Noelle Montcalm	CAN	56.07 (2 h5)	56.28 (6 h1)	–			
6 h2 r2/3	1165	Wenda Nel	RSA	55.55 (2 h4)	55.83 (6 h2)	–			
6 h3 r2/3	1247	Janeil Bellille	TTO	56.25 (5 h4)	56.06 (6 h3)	–			
7 h1 r2/3	862	Ayomide Folorunso	ITA	55.78 (3 h1)	56.37 (7 h1)	–			
7 h2 r2/3	1091	Emilia Ankiewicz	POL	55.89 (3 h4)	56.99 (7 h2)	–			
7 h3 r2/3	345	Laura Wells	AUS	56.26 (4 h5)	56.83 (7 h3)	–			
8 h1 r2/3	1284	Olena Kolesnichenko	UKR	56.61 (3 h6)	56.77 (8 h1)	–			
8 h2 r2/3	596	Denisa Rosolová	CZE	56.36 (4 h3)	57.39 (8 h2)	–			
8 h3 r2/3	1312	Viktoriya Tkachuk	UKR	56.14 (3 h3)	56.87 (8 h3)	–
