Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1539	Félix Sánchez	DOM	48.51 (1 h4)	47.93 (1 h1)	47.63 (1)	Gold		
2	2236	Danny McFarlane	JAM	48.35 (1 h2)	48.00 (1 h2)	48.11 (2)	Silver		
3	1748	Naman Keïta	FRA	48.88 (2 h5)	48.24 (3 h3)	48.26 (3)	Bronze		
4	3240	James Carter	USA	48.64 (1 h3)	48.18 (1 h3)	48.58 (4)			
5	1648	Bayano Kamani	PAN	49.37 (5 h3)	48.23 (2 h3)	48.74 (5)			
6	2688	Marek Plawgo	POL	48.67 (3 h2)	48.16 (2 h1)	49.00 (6)			
7	2829	Alwyn Myburgh	RSA	48.84 (2 h4)	48.21 (3 h1)	49.07 (7)			
8	3228	Bennie Brazell	USA	48.57 (2 h2)	48.19 (2 h2)	49.51 (8)			
3 h2 r2/3	2294	Dai Tamesue	JPN	48.80 (3 h3)	48.46 (3 h2)	–			
4 h1 r2/3	3347	Angelo Taylor	USA	48.79 (1 h1)	48.72 (4 h1)	–			
4 h2 r2/3	1982	Periklis Iakovakis	GRE	48.69 (2 h3)	48.47 (4 h2)	–			
4 h3 r2/3	2252	Kemel Thompson	JAM	48.66 (1 h5)	48.25 (4 h3)	–			
5 h1 r2/3	2404	Hadi Soua'an Al-Somaily	KSA	49.15 (4 h4)	48.98 (5 h1)	–			
5 h2 r2/3	2818	Llewellyn Herbert	RSA	48.70 (4 h2)	48.57 (5 h2)	–			
5 h3 r2/3	1507	Jiří Mužík	CZE	48.85 (2 h1)	48.88 (5 h3)	–			
6 h1 r2/3	2908	Mikhail Lipsky	RUS	49.00 (3 h4)	49.10 (6 h1)	–			
6 h2 r2/3	1622	Eduardo Iván Rodríguez	ESP	49.25 (4 h3)	49.77 (6 h2)	–			
6 h3 r2/3	2810	Ockert Cilliers	RSA	49.12 (3 h5)	49.01 (6 h3)	–			
7 h1 r2/3	2737	Edivaldo Monteiro	POR	49.53 (4 h5)	49.26 (7 h1)	–			
7 h2 r2/3	1519	Štěpán Tesařík	CZE	49.44 (5 h2)	49.87 (7 h2)	–			
7 h3 r2/3	2877	Boris Gorban	RUS	49.25 (4 h1)	49.46 (7 h3)	–			
8 h1 r2/3	2232	Dean Griffiths	JAM	49.41 (5 h4)	49.51 (8 h1)	–			
8 h2 r2/3	1832	Chris Rawlinson	GBR	48.94 (3 h1)	50.89 (8 h2)	–			
8 h3 r2/3	2321	Yevgeny Meleshchenko	KAZ	49.43 (5 h1)	49.48 (8 h3)	–
