Pos	Nr	Athlete	NOC	R1	SF	Final			
1	950	Faith Kibiegon	KEN	4:06.65 (2 h2)	4:03.95 (1 h1)	4:08.92 (1)	Gold		
2	643	Genzebe Dibaba	ETH	4:10.61 (1 h1)	4:03.06 (1 h2)	4:10.27 (2)	Silver		
3	1372	Jenny Simpson	USA	4:06.99 (4 h2)	4:05.07 (4 h2)	4:10.53 (3)	Bronze		
4	1370	Shannon Rowbury	USA	4:06.47 (2 h3)	4:04.46 (3 h1)	4:11.05 (4)			
5	1032	Sifan Hassan	NED	4:06.64 (1 h2)	4:03.62 (2 h2)	4:11.23 (5)			
6	1222	Meraf Bahta	SWE	4:06.82 (5 h3)	4:06.41 (5 h2)	4:12.59 (6)			
7	710	Laura Muir	GBR	4:06.53 (3 h3)	4:04.16 (3 h2)	4:12.88 (7)			
8	648	Dawit Seyaum	ETH	4:05.33 (1 h3)	4:04.23 (2 h1)	4:13.14 (8)			
9	647	Besu Sado	ETH	4:08.11 (6 h2)	4:05.19 (4 h1)	4:13.58 (9)			
10	1095	Sofia Ennaoui	POL	4:06.90 (3 h2)	4:05.29 (6 h1)	4:14.72 (10)			
11	728	Laura Weightman	GBR	4:08.37 (7 h2)	4:05.28 (5 h1)	4:14.95 (11)			
12	993	Rababe Arafi	MAR	4:06.63 (4 h3)	4:05.60 (7 h1)	4:15.16 (12)			
6 h2 r2/3	951	Viola Lagat	KEN	4:08.09 (8 h3)	4:06.83 (6 h2)	–			
7 h2 r2/3	491	Nicole Sifuentes	CAN	4:07.43 (7 h3)	4:08.53 (7 h2)	–			
8 h1 r2/3	324	Linden Hall	AUS	4:11.75 (4 h1)	4:05.81 (8 h1)	–			
8 h2 r2/3	992	Malika Akkaoui	MAR	4:07.42 (5 h2)	4:08.55 (8 h2)	–			
9 h1 r2/3	322	Zoe Buckman	AUS	4:06.93 (6 h3)	4:06.95 (9 h1)	–			
9 h2 r2/3	783	Diana Sujew	GER	4:09.07 (10 h3)	4:10.15 (9 h2)	–			
10 h1 r2/3	757	Konstanze Klosterhalfen	GER	4:11.76 (6 h1)	4:07.26 (10 h1)	–			
10 h2 r2/3	1119	Danuta Urbanik	POL	4:08.67 (9 h3)	4:11.34 (10 h2)	–			
11 h1 r2/3	844	Ciara Mageean	IRL	4:11.51 (2 h1)	4:08.07 (11 h1)	–			
11 h2 r2/3	318	Jenny Blundell	AUS	4:09.05 (8 h2)	4:13.25 (11 h2)	–			
12 h1 r2/3	1355	Brenda Martinez	USA	4:11.74 (3 h1)	4:10.41 (12 h1)	–			
12 h2 r2/3	1093	Angelika Cichocka	POL	4:11.76 (5 h1)	4:17.83 (12 h2)	–
