Pos	Nr	Athlete	NOC	R1	Final			
1	2282	Nancy Langat	KEN	4:03.02 (1 h3)	4:00.23 (1)	Gold		
2	3105	Iryna Lishchynska	UKR	4:13.60 (1 h2)	4:01.63 (2)	Silver		
3	3069	Nataliya Tobias	UKR	4:03.19 (2 h3)	4:01.78 (3)	Bronze		
4	1798	Lisa Dobriskey	GBR	4:03.22 (3 h3)	4:02.10 (4)			
5	1254	Maryam Jamal	BRN	4:05.14 (1 h1)	4:02.71 (5)			
6	1622	Natalia Rodríguez	ESP	4:05.30 (2 h1)	4:03.19 (6)			
7	3173	Shannon Rowbury	USA	4:03.89 (4 h3)	4:03.58 (7)			
8	1592	Iris Fuentes-Pila	ESP	4:14.10 (2 h2)	4:04.86 (8)			
9	3124	Hanna Mishchenko	UKR	4:05.61 (4 h1)	4:05.13 (9)			
10	2384	Siham Hilali	MAR	4:05.36 (3 h1)	4:05.57 (10)			
11	3328	Anna Alminova	RUS	4:04.66 (5 h3)	4:06.99 (11)			
12	2408	Btissam Lakhouad	MAR	4:14.34 (3 h2)	4:07.25 (12)
