Pos	Nr	Athlete	NOC	Time			
1	2716	Constantina Tomescu	ROU	2-26:44	Gold		
2	2272	Catherine Ndereba	KEN	2-27:06	Silver		
3	1367	Zhou Chunxiu	CHN	2-27:07	Bronze		
4	1391	Zhu Xiaolin	CHN	2-27:16			
5	2284	Martha Komu	KEN	2-27:23			
6	1845	Mara Yamauchi	GBR	2-27:29			
7	2806	Irina Timofeyeva	RUS	2-27:31			
8	2717	Lidia Șimon	ROU	2-27:51			
9	1016	Souad Aït Salem	ALG	2-28:29			
10	2279	Salina Kosgei	KEN	2-29:28			
11	2372	Živilė Balčiünaité	LTU	2-29:33			
12	2679	Kim Kum-Ok	PRK	2-30:01			
13	2207	Yurika Nakamura	JPN	2-30:19			
14	2075	Anna Incerti	ITA	2-30:55			
15	1679	Dire Tune	ETH	2-31:16			
16	2543	Nina Rillstone	NZL	2-31:16			
17	2074	Bruna Genovese	ITA	2-31:31			
18	2712	Luminița Talpoș	ROU	2-31:41			
19	2446	Madaí Pérez	MEX	2-31:47			
20	1730	Christelle Daunay	FRA	2-31:48			
21	1066	Benita Johnson	AUS	2-32:06			
22	2815	Svetlana Zakharova	RUS	2-32:16			
23	1825	Paula Radcliffe	GBR	2-32:38			
24	2636	Monika Drybulska	POL	2-32:39			
25	2305	Lee Eun-Jeong	KOR	2-33:07			
26	1846	Liz Yelling	GBR	2-33:12			
27	3228	Blake Russell	USA	2-33:13			
28	2480	Beata Naigambo	NAM	2-33:29			
29	2107	Vincenza Sicari	ITA	2-33:31			
30	2583	Dorota Gruca	POL	2-33:32			
31	3087	Tetiana Filoniuk	UKR	2-33:35			
32	2640	Marisa Barros	POR	2-34:08			
33	1078	Lisa Weightman	AUS	2-34:16			
34	2536	Kirsten Melkevik Otterbu	NOR	2-34:35			
35	2548	Liza Hunter-Galvan	NZL	2-34:51			
36	2677	Jong Yong-Ok	PRK	2-34:52			
37	2378	Rasa Drazdauskaitė	LTU	2-35:09			
38	1873	Melanie Kraus	GER	2-35:17			
39	2558	María Portillo	PER	2-35:19			
40	2483	Helalia Johannes	NAM	2-35:22			
41	1344	Zhang Shujing	CHN	2-35:35			
42	1141	Lucia Kimani	BIH	2-35:47			
43	1557	Sandra Ruales	ECU	2-35:53			
44	1075	Kate Smyth	AUS	2-36:10			
45	1629	Yesenia Centeno	ESP	2-36:25			
46	2661	Ana Dias	POR	2-36:25			
47	1566	Nebiat Habtemariam	ERI	2-37:03			
48	2678	Jo Bun-Hui	PRK	2-37:04			
49	3322	Tabitha Tsatsa	ZIM	2-37:10			
50	3039	Bahar Doğan	TUR	2-37:12			
51	1214	Marily dos Santos	BRA	2-38:10			
52	1876	Susanne Hahn	GER	2-38:31			
53	2300	Chae Eun-Hui	KOR	2-38:52			
54	1583	Alessandra Aguilar	ESP	2-39:29			
55	2456	Patricia Rétiz	MEX	2-39:34			
56	2312	Lee Seon-Yeong	KOR	2-43:23			
57	1082	Eva-Maria Gradwohl	AUT	2-44:24			
58	2291	Yuliya Arkhipova	KGZ	2-44:41			
59	1196	Sonia Calizaya	BOL	2-45:53			
60	1939	Eleni Donta-Bali	GRE	2-46:44			
61	2444	Karina Pérez	MEX	2-47:02			
62	1425	Bertha Sánchez	COL	2-47:02			
63	2054	Pauline Curley	IRL	2-47:16			
64	1603	María José Pueyo	ESP	2-48:01			
65	2010	Petra Teveli	HUN	2-48:32			
66	2858	Épiphanie Nyirabaramé	RWA	2-49:32			
67	2947	Zuzana Tomas	SVK	2-49:39			
68	1435	Gabriela Traña	CRC	2-53:45			
69	3119	Oksana Skliarenko	UKR	2-55:39	
