Pos	Nr	Athlete	NOC	Time			
1	2680	Eliud Kipchoge	KEN	2-08:44	Gold		
2	2398	Feyisa Lilesa	ETH	2-09:54	Silver		
3	3097	Galen Rupp	USA	2-10:05	Bronze		
4	2339	Ghirmay Ghebreslassie	ERI	2-11:04			
5	2964	Alphonce Felix Simbu	TAN	2-11:15			
6	3103	Jared Ward	USA	2-11:30			
7	2947	Tadesse Abraham	SUI	2-11:42			
8	3023	Munyo Solomon Mutai	UGA	2-11:49			
9	2459	Callum Hawkins	GBR	2-11:52			
10	2198	Eric Gillis	CAN	2-12:29			
11	2786	Abdi Nageeye	NED	2-13:01			
12	2314	Mumin Gala	DJI	2-13:04			
13	2390	Lemi Berhanu	ETH	2-13:29			
14	3019	Stephen Kiprotich	UGA	2-13:32			
15	2150	Paulo Roberto Paula	BRA	2-13:56			
16	2655	Satoru Sasaki	JPN	2-13:57			
17	3009	Kaan Kigen Özbilen	TUR	2-14:11			
18	2332	Byron Piedra	ECU	2-14:12			
19	2804	Sondre Nordstad Moen	NOR	2-14:17			
20	3035	Oleksandr Sitkovskiy	UKR	2-14:24			
21	2342	Amanuel Mesel	ERI	2-14:37			
22	2096	Koen Naert	BEL	2-14:53			
23	2195	Reid Coolsaet	CAN	2-14:58			
24	2892	Lusapho April	RSA	2-15:24			
25	2559	Thonakal Gopi	IND	2-15:25			
26	2567	Kheta Ram	IND	2-15:26			
27	2868	Pak Chol	PRK	2-15:27			
28	2060	Evans Kiplagat	AZE	2-15:31			
29	2223	Dong Guojian	CHN	2-15:32			
30	3031	Ihor Olefirenko	UKR	2-15:36			
31	2030	Liam Adams	AUS	2-16:12			
32	2584	Paul Pollock	IRL	2-16:24			
33	3079	Meb Keflezighi	USA	2-16:46			
34	2940	Anuradha Cooray	SRI	2-17:06			
35	2313	Abdi Ulad	DEN	2-17:06			
36	2641	Suehiro Ishikawa	JPN	2-17:08			
37	2888	Marius Ionescu	ROU	2-17:27			
38	2605	Ruggero Pertile	ITA	2-17:30			
39	2838	Artur Kozłowski	POL	2-17:34			
40	3040	Nicolás Cuestas	URU	2-17:44			
41	3128	Pardon Ndhlovu	ZIM	2-17:48			
42	2218	Víctor Aravena	CHI	2-17:49			
43	2963	Saidi Juma Makula	TAN	2-17:49			
44	2091	Florent Caelen	BEL	2-17:59			
45	2821	Raúl Machacuay	PER	2-18:00			
46	2281	Richer Pérez	CUB	2-18:05			
47	2050	Michael Shelley	AUS	2-18:06			
48	3033	Ihor Russ	UKR	2-18:19			
49	2352	Carles Castillejo	ESP	2-18:34			
50	3043	Andrés Zamora	URU	2-18:36			
51	3006	Ercan Muslu	TUR	2-18:40			
52	2823	Cristhian Pacheco	PER	2-18:41			
53	2025	Mariano Mastromarino	ARG	2-18:44			
54	2762	Daniel Vargas	MEX	2-18:51			
55	2511	Philipp Pflieger	GER	2-18:56			
56	2098	Willem Van Schuerbeeck	BEL	2-18:56			
57	2601	Stefano La Rosa	ITA	2-18:57			
58	3129	Cuthbert Nyasango	ZIM	2-18:58			
59	2144	Marílson dos Santos	BRA	2-19:09			
60	2338	Tewelde Estifanos	ERI	2-19:12			
61	2375	Roman Fosti	EST	2-19:26			
62	2992	Atef Saad	TUN	2-19:50			
63	2384	Tiidrek Nurme	EST	2-20:01			
64	2585	Kevin Seaward	IRL	2-20:06			
65	2356	Jesús España	ESP	2-20:08			
66	2824	Raúl Pacheco	PER	2-20:13			
67	2543	Carlos Trujillo	GUA	2-20:24			
68	2118	Stepan Rogovtsov	BLR	2-20:34			
69	2777	Mynhardt Kauanivi	NAM	2-20:45			
70	2494	Julian Flügel	GER	2-20:47			
71	2484	Daviti Kharazishvili	GEO	2-20:47			
72	2746	Rachid Kisri	MAR	2-21:00			
73	2591	Marhu Teferi	ISR	2-21:06			
74	2734	Remigijus Kančys	LTU	2-21:10			
75	2949	Christian Kreienbühl	SUI	2-21:13			
76	2724	Mohamed Hrezi	LBA	2-21:17			
77	2131	Solonei Silva	BRA	2-22:05			
78	2258	Andrés Ruiz	COL	2-22:09			
79	3018	Jackson Kiprop	UGA	2-22:09			
80	2054	Scott Westcott	AUS	2-22:19			
81	2943	Guor Marial	SSD	2-22:45			
82	2117	Vladislav Pryamov	BLR	2-22:48			
83	2571	Nitendra Singh Rawat	IND	2-22:52			
84	2330	Miguel Almachi	ECU	2-23:00			
85	2703	Ilya Tyapkin	KGZ	2-23:19			
86	2554	Gábor Józsa	HUN	2-23:22			
87	2250	Gerard Giraldo	COL	2-23:48			
88	2026	Luis Molina	ARG	2-23:55			
89	2886	Yonas Kinde	ROT	2-24:08			
90	2224	Duo Bujie	CHN	2-24:22			
91	2763	Bat-Ochiryn Ser-Od	MGL	2-24:26			
92	3124	Jordan Chipangama	ZAM	2-24:58			
93	2647	Hisanori Kitajima	JPN	2-25:11			
94	2730	Lebenya Nkoka	LES	2-25:13			
95	2241	Zhu Renxue	CHN	2-25:31			
96	2906	Sibusiso Nzima	RSA	2-25:33			
97	2219	Daniel Estrada	CHI	2-25:33			
98	2916	Ambroise Uwiragiye	RWA	2-25:57			
99	2972	Ho Chin-Ping	TPE	2-26:00			
100	2672	Mikhail Krasilov	KAZ	2-26:11			
101	2773	David Carver	MRI	2-26:16			
102	2582	Mick Clohisey	IRL	2-26:34			
103	2012	Hakim Sadi	ALG	2-26:47			
104	2755	Roman Prodius	MDA	2-27:01			
105	3119	Luis Orta	VEN	2-27:05			
106	2764	Dambadarjaagiin Gantulga	MGL	2-27:42			
107	2220	Enzo Yáñez	CHI	2-27:47			
108	2553	Gáspár Csere	HUN	2-28:03			
109	3039	Martín Cuestas	URU	2-28:10			
110	2732	Valdas Dopolskas	LTU	2-28:21			
111	2962	Fabiano Naasi	TAN	2-28:31			
112	2246	Kamongwa Salukombo Makorobondo	COD	2-28:54			
113	2460	Derek Hawkins	GBR	2-29:24			
114	2084	Célestin Nihorimbere	BDI	2-29:38			
115	2534	Khristoforos Merousis	GRE	2-29:39			
116	2930	Anton Kosmač	SLO	2-29:48			
117	2542	José Amado García	GUA	2-30:11			
118	2939	Anđelko Rističević	SRB	2-30:17			
119	2760	Ricardo Ramos	MEX	2-30:20			
120	2590	Tasama Moogas	ISR	2-30:30			
121	2588	Ageze Guadie	ISR	2-30:45			
122	2867	Rui Pedro da Silva	POR	2-30:52			
123	2331	Segundo Jami	ECU	2-31:07			
124	2249	Diego Colorado	COL	2-31:20			
125	3003	Bekir Karayel	TUR	2-31:27			
126	2890	Nicolae Soare	ROU	2-31:53			
127	2851	Yared Shegumo	POL	2-31:54			
128	2577	Mohammad Jaafar Moradi	IRI	2-31:58			
129	2765	Tseveenravdangiin Byambajav	MGL	2-36:14			
130	2708	Son Myeong-Jun	KOR	2-36:21			
131	2533	Mikhailis Kalomoiris	GRE	2-37:03			
132	2966	Boonthung Srisung	THA	2-37:46			
133	2866	Ricardo Ribas	POR	2-38:29			
134	2817	Jorge Castelblanco	PAN	2-39:25			
135	2819	Derlis Ayala	PAR	2-39:40			
136	2022	Federico Bruno	ARG	2-40:05			
137	2707	Shim Jung-Sub	KOR	2-42:42			
138	2187	Kuniaki Takizaki	CAM	2-45:55			
139	2634	Methkal Abu Drais	JOR	2-46:18
