Pos	Nr	Athlete	NOC	Time			
1	958	Jemima Sumgong	KEN	2-24:04	Gold		
2	452	Eunice Kirwa	BRN	2-24:13	Silver		
3	644	Mare Dibaba	ETH	2-24:30	Bronze		
4	651	Tirfi Tsegaye	ETH	2-24:47			
5	397	Olga Mazuryonok	BLR	2-24:48			
6	1340	Shalane Flanagan	USA	2-25:26			
7	1352	Des Linden	USA	2-26:08			
8	446	Rose Chelimo	BRN	2-27:36			
9	1333	Amy Cragg	USA	2-28:25			
10	1138	Kim Hye-Song	PRK	2-28:36			
11	1137	Kim Hye-Gyong	PRK	2-28:36			
12	978	Jeļena Prokopčuka	LAT	2-29:32			
13	874	Valeria Straneo	ITA	2-29:44			
14	913	Kayoko Fukushi	JPN	2-29:53			
15	1085	Gladys Tejeda	PER	2-29:55			
16	1129	Dulce Félix	POR	2-30:39			
17	986	Diana Lobačevskė	LTU	2-30:48			
18	323	Milly Clark	AUS	2-30:53			
19	923	Tomomi Tanaka	JPN	2-31:12			
20	845	Fionnuala McCormack	IRL	2-31:22			
21	1109	Iwona Lewandowska	POL	2-31:41			
22	342	Jess Trengove	AUS	2-31:44			
23	1115	Monika Stefanowicz	POL	2-32:49			
24	482	Lanni Marchant	CAN	2-33:08			
25	857	Catherine Bertone	ITA	2-33:29			
26	599	Eva Vrabcová	CZE	2-33:51			
27	1001	Lilia Fisikovici	MDA	2-34:05			
28	700	Alyson Dixon	GBR	2-34:11			
29	1210	Maja Neuenschwander	SUI	2-34:27			
30	722	Sonia Samuels	GBR	2-34:36			
31	343	Lisa Weightman	AUS	2-34:41			
32	1010	Madaí Pérez	MEX	2-34:42			
33	1286	Olha Kotovska	UKR	2-34:57			
34	620	María Azucena Díaz	ESP	2-35:02			
35	473	Krista DuChene	CAN	2-35:29			
36	1083	Jovana de la Cruz	PER	2-35:49			
37	985	Rasa Drazdauskaitė	LTU	2-35:50			
38	989	Vaida Žūsinaitė	LTU	2-35:53			
39	815	Christy Yiu	HKG	2-36:11			
40	601	Jess Draskau-Petersson	DEN	2-36:14			
41	1025	Beata Naigambo	NAM	2-36:32			
42	965	An Seul-Ki	KOR	2-36:50			
43	553	Angie Orjuela	COL	2-37:05			
44	778	Anja Scherl	GER	2-37:23			
45	388	Marina Domantsevich	BLR	2-37:34			
46	915	Mai Ito	JPN	2-37:37			
47	376	Veerle Dejaeghere	BEL	2-37:39			
48	1009	Margarita Hernández	MEX	2-38:15			
49	1139	Kim Kum-Ok	PRK	2-38:24			
50	304	Kenza Dahmani	ALG	2-38:37			
51	656	Anne-Mari Hyryläinen	FIN	2-39:02			
52	816	Zsófia Erdélyi	HUN	2-39:04			
53	534	Yue Chao	CHN	2-39:09			
54	1387	Sitora Khamidova	UZB	2-39:45			
55	600	Anne Baumeister	DEN	2-39:49			
56	1024	Helalia Johannes	NAM	2-39:55			
57	843	Lizzie Lee	IRL	2-39:57			
58	1256	Esma Aydemir	TUR	2-39:59			
59	960	Yuliya Andreyeva	KGZ	2-40:34			
60	1030	Andrea Deelstra	NED	2-40:49			
61	974	Ilona Marhele	LAT	2-41:02			
62	963	Viktoriia Poliudina	KGZ	2-41:37			
63	1167	Dinah Phalula	RSA	2-41:46			
64	349	Andrea Mayr	AUT	2-41:52			
65	819	Krisztina Papp	HUN	2-42:03			
66	1308	Svitlana Stanko	UKR	2-42:26			
67	1088	Mayada Al-Sayad	PLE	2-42:28			
68	1268	Nyakisi Adero	UGA	2-42:39			
69	416	Adriana da Silva	BRA	2-43:22			
70	966	Im Gyeong-Hui	KOR	2-43:31			
71	1145	Beverly Ramos	PUR	2-43:52			
72	1013	Bayartsogtyn Mönkhzayaa	MGL	2-43:55			
73	545	Érika Abril	COL	2-44:05			
74	379	Manuela Soccol	BEL	2-44:18			
75	1023	Alina Armas	NAM	2-44:20			
76	840	Breege Connolly	IRL	2-44:41			
77	1388	Marina Khmelevskaya	UZB	2-45:06			
78	424	Marily dos Santos	BRA	2-45:08			
79	517	Hua Shaoqing	CHN	2-45:09			
80	615	Nebiat Habtemariam	ERI	2-45:21			
81	748	Anna Hahner	GER	2-45:32			
82	749	Lisa Hahner	GER	2-45:33			
83	821	Tünde Szabó	HUN	2-45:37			
84	378	Els Rens	BEL	2-45:52			
85	1014	Luvsanlkhündeviin Otgonbayar	MGL	2-45:55			
86	948	Visiline Jepkesho	KEN	2-46:05			
87	1288	Nataliya Lehonkova	UKR	2-46:08			
88	803	Ourania Rebouli	GRE	2-46:32			
89	835	O. P. Jaisha	IND	2-47:19			
90	854	Maor Tiyouri	ISR	2-47:27			
91	1238	Jane Vongvorachoti	THA	2-47:27			
92	1405	Rutendo Nyahora	ZIM	2-47:32			
93	1397	Yolymar Pineda	VEN	2-47:34			
94	961	Mariya Korobitskaya	KGZ	2-47:53			
95	612	Silvia Paredes	ECU	2-48:01			
96	1164	Christine Kalmer	RSA	2-48:24			
97	635	Lily Luik	EST	2-48:29			
98	1000	Tereza Master	MAW	2-48:34			
99	609	María Elena Calle	ECU	2-48:39			
100	610	Rosa Chacha	ECU	2-48:52			
101	1161	Paula Todoran	ROU	2-48:54			
102	570	Dailín Belmonte	CUB	2-48:58			
103	804	Sofia Riga	GRE	2-49:07			
104	563	Matea Matošević	CRO	2-50:00			
105	509	Érika Olivera	CHI	2-50:29			
106	971	Ariana Hilborna	LAT	2-50:51			
107	1216	Katarína Berešová	SVK	2-50:54			
108	460	Militsa Mircheva	BUL	2-51:06			
109	983	Chirine Njeim	LBN	2-51:08			
110	311	Rosa Godoy	ARG	2-52:31			
111	1261	Sultan Haydar	TUR	2-53:57			
112	1259	Meryem Erdoğan	TUR	2-54:04			
113	1244	Hsieh Chien-Ho	TPE	2-54:18			
114	633	Leila Luik	EST	2-54:38			
115	1082	Carmen Martínez	PAR	2-56:43			
116	383	Lucia Kimani	BIH	2-58:22			
117	408	Rosmery Quispe	BOL	2-58:32			
118	807	Panagiota Vlachaki	GRE	2-59:12			
119	567	Marija Vrajić	CRO	2-59:24			
120	836	Kavita Tungar	IND	2-59:29			
121	1234	Sara Ramadhani	TAN	3-00:03			
122	937	Irina Smolnikova	KAZ	3-00:31			
123	510	Natalia Romero	CHI	3-01:29			
124	1087	Mary Tabal	PHI	3-02:27			
125	308	Viviana Chávez	ARG	3-03:23			
126	1175	Claudette Mukasakindi	RWA	3-05:57			
127	1243	Chen Yu-Hsuan	TPE	3-09:13			
128	433	Graciete Moreira	BRA	3-09:15			
129	1197	Niluka Geethani Rajasekara	SRI	3-11:05			
130	1237	Natthaya Thanaronnawat	THA	3-11:31			
131	1179	Neo Jie Shi	SGP	3-15:18			
132	969	Sarah Attar	KSA	3-16:11			
133	464	Nary Ly	CAM	3-20:20
