Pos	Nr	Athlete	NOC	Time			
1	2263	Sammy Wanjiru	KEN	2-06:32	Gold	OB	
2	2391	Jaouad Gharib	MAR	2-07:16	Silver		
3	1651	Tsegaye Kebede	ETH	2-10:00	Bronze		
4	1650	Deriba Merga	ETH	2-10:21			
5	2261	Martin Lel	KEN	2-10:24			
6	2926	Viktor Röthlin	SUI	2-10:35			
7	1652	Gashaw Asfaw	ETH	2-10:52			
8	1575	Yared Asmerom	ERI	2-11:11			
9	3224	Dathan Ritzenhein	USA	2-11:59			
10	3174	Ryan Hall	USA	2-12:33			
11	3318	Mike Fokoroni	ZIM	2-13:17			
12	2085	Stefano Baldini	ITA	2-13:25			
13	2203	Tsuyoshi Ogata	JPN	2-13:26			
14	2832	Georgy Andreyev	RUS	2-13:33			
15	2125	Ruggero Pertile	ITA	2-13:39			
16	1608	José Manuel Martínez	ESP	2-14:00			
17	1690	Francis Kirwa	FIN	2-14:22			
18	2310	Lee Myeong-Seung	KOR	2-14:37			
19	1686	Janne Holmén	FIN	2-14:44			
20	2394	Abderrahim Goumri	MAR	2-15:00			
21	2834	Aleksey Sokolov	RUS	2-15:57			
22	3231	Brian Sell	USA	2-16:07			
23	2108	Ottaviano Andriani	ITA	2-16:10			
24	1828	Dan Robinson	GBR	2-16:14			
25	1329	Deng Haiyang	CHN	2-16:17			
26	2405	Abderrahhime Bouramdane	MAR	2-17:42			
27	3122	Vasyl Matviychuk	UKR	2-17:50			
28	2304	Lee Bong-Ju	KOR	2-17:56			
29	2836	Oleg Kulkov	RUS	2-18:11			
30	2645	Paulo Gomes	POR	2-18:15			
31	3052	Alex Malinga	UGA	2-18:26			
32	2455	Carlos Cordero	MEX	2-18:40			
33	2676	Ri Kum-Song	PRK	2-19:08			
34	2629	Henryk Szost	POL	2-19:43			
35	1973	José Amado García	GUA	2-20:15			
36	1569	Yonas Kifle	ERI	2-20:23			
37	1261	Nasar Sakar Saeed	BRN	2-20:24			
38	1232	José de Souza	BRA	2-20:25			
39	2494	Kamiel Maase	NED	2-20:30			
40	2674	Pak Song-Chol	PRK	2-21:16			
41	2428	Iaroslav Musinschi	MDA	2-21:18			
42	2675	Kim Il-Nam	PRK	2-21:51			
43	1417	Juan Carlos Cardona	COL	2-21:57			
44	2730	Hendrick Ramaala	RSA	2-22:43			
45	2501	Arjun Kumar Basnet	NEP	2-23:09			
46	2646	Hélder Ornelas	POR	2-23:20			
47	2437	Procopio Franco	MEX	2-23:24			
48	1433	Nelson Cruz	CPV	2-23:47			
49	1325	Roberto Echeverría	CHI	2-23:54			
50	2303	Kim I-Yong	KOR	2-23:57			
51	1336	Li Zhuhong	CHN	2-24:08			
52	2457	Bat-Ochiryn Ser-Od	MGL	2-24:19			
53	2739	Norman Dlomo	RSA	2-24:28			
54	2612	Arkadiusz Sowa	POL	2-24:48			
55	2969	Samson Ramadhani	TAN	2-25:03			
56	1205	Ndabili Bashingili	BOT	2-25:11			
57	1754	Simon Munyutu	FRA	2-25:50			
58	1022	Toni Bernadó	AND	2-26:29			
59	3001	Wu Wen-Chien	TPE	2-26:55			
60	1057	Lee Troop	AUS	2-27:17			
61	2559	Constantino León	PER	2-28:04			
62	2467	Goran Stojiljković	MNE	2-28:14			
63	1974	Alfredo Arévalo	GUA	2-28:26			
64	2696	Yousuf Othman Qader	QAT	2-28:40			
65	1551	Franklin Tenorio	ECU	2-29:05			
66	2440	Francisco Bautista	MEX	2-29:28			
67	2875	Roman Kejžar	SLO	2-29:37			
68	1110	Joachim Nshimirimana	BDI	2-29:55			
69	2063	Haile Satayin	ISR	2-30:07			
70	2227	Takhir Mamashayev	KAZ	2-30:26			
71	3038	Abdil Ceylan	TUR	2-31:43			
72	1628	José Ríos	ESP	2-32:35			
73	1284	Hem Bunting	CAM	2-33:32			
74	2360	Marcel Tschopp	LIE	2-35:06			
75	1642	Pavel Loskutov	EST	2-39:01			
76	2205	Atsushi Sato	JPN	2-41:08
