Pos	Nr	Athlete	NOC	Time			
1	1708	Tiki Gelana	ETH	2-23:07	Gold		
2	2330	Priscah Jeptoo	KEN	2-23:12	Silver		
3	2884	Tatyana Petrova-Arkhipova	RUS	2-23:29	Bronze		
4	2331	Mary Keitany	KEN	2-23:56			
5	1399	Zhu Xiaolin	CHN	2-24:48			
6	2719	Jéssica Augusto	POR	2-25:11			
7	2163	Valeria Straneo	ITA	2-25:27			
8	2879	Albina Ivanova-Mayorova	RUS	2-25:38			
9	3288	Shalane Flanagan	USA	2-25:51			
10	3292	Kara Goucher	USA	2-26:07			
11	2537	Helalia Johannes	NAM	2-26:09			
12	2721	Marisa Barros	POR	2-26:13			
13	1949	Irina Mikitenko	GER	2-26:44			
14	2615	Kim Smith	NZL	2-26:59			
15	2255	Ryoko Kizaki	JPN	2-27:16			
16	1083	Lisa Weightman	AUS	2-27:32			
17	3003	Isabellah Andersson	SWE	2-27:36			
18	2259	Yoshimi Ozaki	JPN	2-27:43			
19	2334	Edna Kiplagat	KEN	2-27:52			
20	2725	Dulce Félix	POR	2-28:12			
21	1391	Wang Xueqin	CHN	2-28:21			
22	1705	Mare Dibaba	ETH	2-28:48			
23	2557	Hilda Kibet	NED	2-28:52			
24	2631	Inés Melchor	PER	2-28:54			
25	1640	Alessandra Aguilar	ESP	2-29:19			
26	2432	Rasa Drazdauskaitė	LTU	2-29:29			
27	2436	Diana Lobačevskė	LTU	2-29:32			
28	2156	Anna Incerti	ITA	2-29:38			
29	2150	Rosaria Console	ITA	2-30:09			
30	1131	Diane Nukuri	BDI	2-30:13			
31	1937	Susanne Hahn	GER	2-30:22			
32	1200	Anastasiya Starovoytova	BLR	2-30:25			
33	1184	Svetlana Kovgan	BLR	2-30:26			
34	2792	René Kalmer	RSA	2-30:51			
35	2686	Karolina Jarzyńska	POL	2-30:57			
36	1010	Souad Aït Salem	ALG	2-31:15			
37	2538	Beata Naigambo	NAM	2-31:16			
38	1082	Jess Trengove	AUS	2-31:17			
39	1549	Jess Draskau-Petersson	DEN	2-31:43			
40	2362	Jeong Yun-Hui	KOR	2-31:58			
41	1712	Aselefech Mergia	ETH	2-32:03			
42	2632	Gladys Tejeda	PER	2-32:07			
43	1865	Freya Murray	GBR	2-32:14			
44	2773	Lidia Șimon	ROU	2-32:46			
45	2513	Marisol Romero	MEX	2-33:08			
46	1236	Adriana da Silva	BRA	2-33:15			
47	3155	Olena Burkovska	UKR	2-33:26			
48	2738	Kim Kum-Ok	PRK	2-33:30			
49	2511	Karina Pérez	MEX	2-33:30			
50	1422	Érika Abril	COL	2-33:33			
51	1460	Lisa Christina Stublić	CRO	2-34:03			
52	2978	Maja Neuenschwander	SUI	2-34:50			
53	1092	Andrea Mayr	AUT	2-34:51			
54	2630	Wilma Arizapana	PER	2-35:09			
55	2737	Jon Kyong-Hui	PRK	2-35:17			
56	1857	Claire Hallissey	GBR	2-35:39			
57	1605	Rehaset Mehari	ERI	2-35:49			
58	2347	Yuliya Andreyeva	KGZ	2-36:01			
59	1647	María Elena Espeso	ESP	2-36:12			
60	1257	Lishan Dula	BRN	2-36:20			
61	1339	Érika Olivera	CHI	2-36:41			
62	2487	Natalia Cercheş	MDA	2-37:13			
63	2101	Linda Byrne	IRL	2-37:13			
64	1542	Ivana Sekyrová	CZE	2-37:14			
65	2106	Ava Hutchinson	IRL	2-37:17			
66	1340	Natalia Romero	CHI	2-37:47			
67	1488	Dailín Belmonte	CUB	2-38:08			
68	2958	Ana Subotić	SRB	2-38:22			
69	3087	Sultan Haydar	TUR	2-38:26			
70	2476	Samira Al-Raïf	MAR	2-38:31			
71	2739	Kim Mi-Gyong	PRK	2-38:33			
72	2435	Remalda Kergytė	LTU	2-39:01			
73	2366	Im Gyeong-Hui	KOR	2-39:03			
74	2526	Slađana Perunović	MNE	2-39:07			
75	1178	Olga Dubovskaya	BLR	2-39:12			
76	2261	Risa Shigetomo	JPN	2-40:06			
77	3068	Amira Ben Amor	TUN	2-40:13			
78	2793	Tanith Maxwell	RSA	2-40:27			
79	1027	María Peralta	ARG	2-40:50			
80	1578	Rosa Chacha	ECU	2-40:57			
81	2062	Triyaningsih	INA	2-41:15			
82	2059	Beáta Rakonczai	HUN	2-41:20			
83	2765	Constantina Diţă	ROU	2-41:34			
84	1736	Leena Puotiniemi	FIN	2-42:01			
85	2934	Žana Jereb	SLO	2-42:50			
86	2420	Mamorallo Tjoka	LES	2-43:15			
87	1451	Gabriela Traña	CRC	2-43:17			
