Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Stefan Holm	SWE	2.36	0	3			
2	Matt Hemingway	USA	2.34	0	0			
3	Jaroslav Bába	CZE	2.34	0	2			
4	Jamie Nieto	USA	2.34	1	2			
5	Andriy Sokolovskiy	UKR	2.32	0	0			
6	Yaroslav Rybakov	RUS	2.32	1	2			
7	Mark Boswell	CAN	2.29	0	0			
8	Svatoslav Ton	CZE	2.29	1	2			
9	Vyacheslav Voronin	RUS	2.29	2	2			
10	Dragutin Topić	SCG	2.29	2	3			
11	Lisvany Pérez	CUB	2.25	1	1			
12	Alessandro Talotti	ITA	2.25	2	2
