Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Yelena Slesarenko	RUS	2.06	0	0	OR		
2	Hestrie Storbeck-Cloete	RSA	2.02	0	0			
3	Vita Stopina	UKR	2.02	0	4			
4	Amy Acuff	USA	1.99	0	1			
5	Iryna Mykhalchenko	UKR	1.96	1	1			
6	Anna Chicherova	RUS	1.96	2	3			
7	Oana Mușunoi-Pantelimon	ROU	1.93	0	0			
8	Monica Iagăr-Dinescu	ROU	1.93	1	1			
9	Inha Babakova	UKR	1.93	1	2			
10	Marta Mendía	ESP	1.93	2	2			
11	Blanka Vlašić	CRO	1.89	0	0			
12	Tia Hellebaut	BEL	1.85	0	0			
