Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Andrey Silnov	RUS	2.36	0	0			
2	Germaine Mason	GBR	2.34	0	1			
3	Yaroslav Rybakov	RUS	2.34	0	2			
4	Stefan Holm	SWE	2.32	0	0			
5	Raúl Spank	GER	2.32	2	2			
6	Jaroslav Bába	CZE	2.29	0	0			
7	Tomáš Janků	CZE	2.29	1	1			
8	Tom Parsons	GBR	2.25	0	0			
9	Martyn Bernard	GBR	2.25	1	1			
=10	Jessé de Lima	BRA	2.20	0	0			
=10	Filippo Campioli	ITA	2.20	0	0			
12	Rožle Prezelj	SLO	2.20	2	2
