Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	1187	Yuliya Nesterenko	BLR	10.94 (1 h2)	10.99 (1 h4)	10.92 (1 h1)	10.93 (1)	Gold		
2	3363	Lauryn Williams	USA	11.16 (1 h3)	11.03 (1 h2)	11.01 (1 h2)	10.96 (2)	Silver		
3	2223	Veronica Campbell	JAM	11.17 (1 h6)	11.18 (2 h1)	10.93 (2 h1)	10.97 (3)	Bronze		
4	1285	Ivet Lalova	BUL	11.16 (1 h8)	11.09 (2 h2)	11.04 (3 h1)	11.00 (4)			
5	2213	Aleen Bailey	JAM	11.20 (1 h1)	11.12 (2 h3)	11.13 (3 h2)	11.05 (5)			
6	2244	Sherone Simpson	JAM	11.27 (2 h4)	11.09 (1 h3)	11.03 (2 h2)	11.07 (6)			
7	1124	Debbie Ferguson	BAH	11.30 (3 h1)	11.16 (3 h2)	11.04 (4 h1)	11.16 (7)			
8	3244	LaTasha Colander-Richardson	USA	11.31 (1 h5)	11.20 (3 h4)	11.18 (4 h2)	11.18 (8)			
5 h1 r3/4	1829	Abi Oyepitan	GBR	11.23 (2 h8)	11.28 (3 h1)	11.18 (5 h1)	–			
5 h2 r3/4	3016	Merlene Ottey	SLO	11.14 (2 h2)	11.24 (3 h3)	11.21 (5 h2)	–			
6 h1 r3/4	1717	Christine Arron	FRA	11.14 (=1 h7)	11.10 (1 h1)	11.21 (6 h1)	–			
6 h2 r3/4	1147	Kim Gevaert	BEL	11.18 (3 h7)	11.17 (2 h4)	11.40 (6 h2)	–			
7 h1 r3/4	3252	Gail Devers	USA	11.29 (2 h6)	11.31 (4 h1)	11.22 (7 h1)	–			
7 h2 r3/4	3384	Lyubov Perepelova	UZB	11.30 (3 h8)	11.26 (4 h2)	11.40 (7 h2)	–			
8 h1 r3/4	2948	Yuliya Tabakova	RUS	11.22 (1 h4)	11.25 (4 h4)	11.25 (8 h1)	–			
4 h3 r2/4	2902	Larisa Kruglova	RUS	11.23 (3 h2)	11.36 (4 h3)	–	–			
5 h1 r2/4	2888	Irina Khabarova	RUS	11.32 (2 h3)	11.32 (5 h1)	–	–			
5 h2 r2/4	1755	Véronique Mang	FRA	11.24 (2 h1)	11.39 (5 h2)	–	–			
5 h3 r2/4	2604	Mercy Nku	NGR	11.37 (4 h1)	11.39 (5 h3)	–	–			
5 h4 r2/4	2608	Endurance Ojokolo	NGR	11.36 (2 h5)	11.35 (5 h4)	–	–			
6 h1 r2/4	2152	LaVerne Jones	ISV	11.38 (3 h6)	11.44 (6 h1)	–	–			
6 h2 r2/4	1105	Bettina Müller	AUT	11.39 (4 h4)	11.50 (6 h2)	–	–			
6 h3 r2/4	2508	Liliana Allen	MEX	11.42 (5 h1)	11.52 (6 h3)	–	–			
6 h4 r2/4	3383	Guzel Khubbiyeva	UZB	11.31 (4 h2)	11.35 (6 h4)	–	–			
7 h1 r2/4	1129	Chandra Sturrup	BAH	11.37 (3 h4)	11.46 (7 h1)	–	–			
7 h2 r2/4	1104	Karin Mayr-Krifka	AUT	11.40 (4 h7)	11.55 (7 h2)	–	–			
7 h3 r2/4	3114	Fana Ashby	TTO	11.43 (3 h3)	11.54 (7 h3)	–	–			
7 h4 r2/4	1229	Rosemar Coelho	BRA	11.43 (5 h7)	11.45 (7 h4)	–	–			
8 h1 r2/4	1398	Delphine Atangana	CMR	11.40 (4 h8)	11.60 (8 h1)	–	–	
AC	3167	Zhanna Pintusevych-Blok	UKR	11.25 (AC h6)	11.27 (AC h2)	11.23 (AC h2)	–		DQ
