Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	2163	Usain Bolt	JAM	10.20 (1 h1)	9.92 (1 h4)	9.85 (1 h1)	9.69 (1)			
2	3025	Richard Thompson	TTO	10.24 (1 h3)	9.99 (1 h2)	9.93 (2 h2)	9.89 (2)			
3	3282	Walter Dix	USA	10.35 (3 h7)	10.08 (2 h5)	9.95 (2 h1)	9.91 (3)			
4	1003	Churandy Martina	AHO	10.35 (1 h10)	9.99 (1 h1)	9.94 (3 h2)	9.93 (4)			
5	2142	Asafa Powell	JAM	10.16 (1 h2)	10.02 (1 h5)	9.91 (1 h2)	9.95 (5)			
6	2148	Michael Frater	JAM	10.15 (1 h4)	10.09 (2 h1)	10.01 (4 h1)	9.97 (6)			
7	3019	Marc Burns	TTO	10.46 (1 h9)	10.05 (1 h3)	9.97 (3 h1)	10.01 (7)			
8	3215	Darvis Patton	USA	10.25 (2 h6)	10.04 (2 h4)	10.03 (4 h2)	10.03 (8)			
5 h1 r3/4	2868	Kim Collins	SKN	10.17 (2 h2)	10.07 (2 h3)	10.05 (5 h1)	–			
5 h2 r3/4	3265	Tyson Gay	USA	10.22 (1 h5)	10.09 (2 h2)	10.05 (5 h2)	–			
6 h1 r3/4	1100	Derrick Atkins	BAH	10.28 (1 h8)	10.14 (3 h5)	10.13 (6 h1)	–			
6 h2 r3/4	2656	Francis Obikwelu	POR	10.25 (1 h7)	10.09 (3 h4)	10.10 (6 h2)	–			
7 h1 r3/4	1801	Tyrone Edgar	GBR	10.13 (1 h6)	10.10 (3 h3)	10.18 (7 h1)	–			
7 h2 r3/4	2222	Naoki Tsukahara	JPN	10.39 (2 h10)	10.23 (3 h1)	10.16 (7 h2)	–			
8 h2 r3/4	1771	Martial Mbandjock	FRA	10.26 (2 h3)	10.16 (3 h2)	10.18 (8 h2)	–			
4 h1 r2/4	1844	Simeon Williamson	GBR	10.42 (3 h10)	10.32 (4 h1)	–	–			
4 h2 r2/4	2507	Olusoji Fasuba	NGR	10.29 (2 h5)	10.21 (4 h2)	–	–			
4 h3 r2/4	1761	Ronald Pognon	FRA	10.26 (3 h6)	10.21 (4 h3)	–	–			
4 h4 r2/4	2537	Jaysuma Saidy Ndure	NOR	10.37 (3 h8)	10.14 (4 h4)	–	–			
4 h5 r2/4	1024	Daniel Bailey	ANT	10.24 (2 h1)	10.23 (4 h5)	–	–			
5 h1 r2/4	1460	Henry Vizcaíno	CUB	10.28 (4 h1)	10.33 (5 h1)	–	–			
5 h2 r2/4	1109	Andrew Hinds	BAR	10.35 (5 h3)	10.25 (5 h2)	–	–			
5 h3 r2/4	2880	Matic Osovnikar	SLO	10.46 (2 h9)	10.24 (5 h3)	–	–			
5 h4 r2/4	1824	Craig Pickering	GBR	10.21 (3 h2)	10.18 (5 h4)	–	–			
5 h5 r2/4	1928	Abdul Aziz Zakari	GHA	10.34 (4 h3)	10.24 (5 h5)	–	–			
6 h1 r2/4	1308	Pierre Browne	CAN	10.22 (2 h4)	10.36 (6 h1)	–	–			
6 h2 r2/4	1231	José Carlos Moreira	BRA	10.29 (3 h5)	10.32 (6 h2)	–	–			
6 h3 r2/4	1900	Tobias Unger	GER	10.46 (4 h10)	10.36 (6 h3)	–	–			
6 h4 r2/4	2503	Obinna Metu	NGR	10.34 (2 h7)	10.27 (6 h4)	–	–			
6 h5 r2/4	2833	Andrey Yepishin	RUS	10.34 (2 h8)	10.25 (6 h5)	–	–			
7 h1 r2/4	2596	Dariusz Kuć	POL	10.44 (5 h2)	10.46 (7 h1)	–	–			
7 h2 r2/4	2092	Simone Collio	ITA	10.32 (3 h3)	10.33 (7 h2)	–	–			
7 h4 r2/4	1291	Anson Henry	CAN	10.37 (4 h7)	10.33 (7 h4)	–	–			
7 h5 r2/4	1238	Vicente de Lima	BRA	10.26 (3 h1)	10.31 (7 h5)	–	–			
8 h1 r2/4	3018	Darrel Brown	TTO	10.22 (3 h4)	10.93 (8 h1)	–	–			
8 h2 r2/4	1419	Daniel Grueso	COL	10.35 (4 h2)	10.37 (8 h2)	–	–			
8 h3 r2/4	2184	Nobuharu Asahara	JPN	10.25 (4 h4)	10.37 (7 h3)	–	–			
8 h4 r2/4	1578	Ángel David Rodríguez	ESP	10.34 (4 h5)	10.35 (8 h4)	–	–			
8 h5 r2/4	1355	Hu Kai	CHN	10.39 (4 h6)	10.40 (8 h5)	–	–
