Pos	Nr	Athlete	NOC	Preliminary Round	R1	SF	Final			
1	2612	Usain Bolt	JAM	–	10.07 (1 h7)	9.86 (1 h2)	9.81 (1)	Gold		
2	3069	Justin Gatlin	USA	–	10.01 (1 h2)	9.94 (1 h3)	9.89 (2)	Silver		
3	2196	Andre De Grasse	CAN	–	10.04 (1 h4)	9.92 (2 h2)	9.91 (3)	Bronze		
4	2611	Yohan Blake	JAM	–	10.11 (1 h6)	10.01 (2 h3)	9.93 (4)			
5	2909	Akani Simbine	RSA	–	10.14 (1 h8)	9.98 (3 h1)	9.94 (5)			
6	2245	Ben Youssef Meïté	CIV	–	10.03 (1 h5)	9.97 (2 h1)	9.96 (6)			
7	2434	Jimmy Vicaut	FRA	–	10.19 (4 h4)	9.95 (1 h1)	10.04 (7)			
8	3054	Trayvon Bromell	USA	–	10.13 (2 h5)	10.01 (3 h2)	10.06 (8)			
3 h3 r3/4	2427	Christophe Lemaître	FRA	–	10.16 (3 h5)	10.07 (3 h3)	–			
4 h1 r3/4	3002	Jak Ali Harvey	TUR	–	10.14 (2 h6)	10.03 (4 h1)	–			
4 h2 r3/4	2476	Chijindu Ujah	GBR	–	10.13 (2 h1)	10.01 (4 h2)	–			
4 h3 r3/4	2229	Su Bingtian	CHN	–	10.17 (3 h4)	10.08 (4 h3)	–			
5 h1 r3/4	2608	Nickel Ashmeade	JAM	–	10.13 (2 h3)	10.05 (5 h1)	–			
5 h2 r3/4	2664	Ryota Yamagata	JPN	–	10.2 (2 h8)	10.05 (5 h2)	–			
5 h3 r3/4	2164	Kemarley Brown	BRN	–	10.13 (1 h1)	10.13 (5 h3)	–			
6 h1 r3/4	3053	Marvin Bracy	USA	–	10.16 (3 h1)	10.08 (6 h1)	–			
6 h2 r3/4	2924	Kim Collins	SKN	–	10.18 (4 h3)	10.12 (6 h2)	–			
6 h3 r3/4	2447	James Dasaolu	GBR	–	10.18 (3 h7)	10.16 (6 h3)	–			
7 h1 r3/4	2234	Xie Zhenye	CHN	–	10.08 (1 h3)	10.11 (7 h1)	–			
7 h2 r3/4	2018	Cejhae Greene	ANT	–	10.2 (4 h5)	10.13 (7 h2)	–			
7 h3 r3/4	2636	Aska Cambridge	JPN	–	10.13 (2 h4)	10.17 (7 h3)	–			
8 h1 r3/4	2580	Hassan Taftian	IRI	–	10.17 (3 h3)	10.23 (8 h1)	–			
AC h2 r3/4	2170	Andrew Fisher	BRN	–	10.12 (2 h7)	– (AC h2)	–
