Pos	Nr	Walker	NOC	Time	Warnings			
1	2875	Yelena Lashmanova	RUS	1-25:02	1		Gold	
2	1387	Qieyang Shenjie	CHN	1-25:16	2		Silver	
3	1382	Liu Hong	CHN	1-26:00	1		Bronze	
4	1385	Lu Xiuzhi	CHN	1-27:10	1			
5	2158	Elisa Rigaudo	ITA	1-27:36	1			
6	1652	Beatriz Pascual	ESP	1-27:56	0			
7	2722	Ana Cabecinha	POR	1-28:03	0			
8	1660	María Vasco	ESP	1-28:14	0			
9	2249	Masumi Fuchise	JPN	1-28:41	1			
10	1655	María José Povés	ESP	1-29:36	1			
11	2108	Olive Loughnane	IRL	1-29:39	0			
12	2153	Eleonora Giorgi	ITA	1-29:48	1			
13	2727	Inês Henriques	POR	1-29:54	1			
14	3153	Nadiya Borovska	UKR	1-30:03	0			
15	1073	Regan Lamble	AUS	1-30:08	0			
16	2253	Mayumi Kawasaki	JPN	1-30:20	0			
17	1966	Melanie Seeger	GER	1-30:44	0			
18	2112	Laura Reynolds	IRL	1-31:02	0			
19	2438	Kristina Saltanovič	LTU	1-31:04	0			
20	2701	Agnieszka Szwarnóg	POL	1-31:14	1			
21	2682	Agnieszka Dygacz	POL	1-31:28	0			
22	2406	Agnese Pastare	LAT	1-31:54	1			
23	1177	Anna Drabenya	BLR	1-31:58	1			
24	2443	Brigita Virbalytė	LTU	1-31:58	0			
25	3165	Olha Yakovenko	UKR	1-32:07	0			
26	1074	Beki Lee	AUS	1-32:14	0			
27	3309	Maria Michta	USA	1-32:27	0			
28	2509	Mónica Equihua	MEX	1-32:28	0			
29	2016	Jamy Franco	GUA	1-33:18	1			
30	1423	Sandra Arenas	COL	1-33:21	0			
31	1210	Claudia Balderrama	BOL	1-33:28	1			
32	1430	Ingrid Hernández	COL	1-33:34	0			
33	1537	Lucie Pelantová	CZE	1-33:35	0			
34	3359	Nguyễn Thị Thanh Phúc	VIE	1-33:36	0			
35	2258	Kumi Otoshi	JPN	1-33:50	0			
36	2774	Claudia Ștef	ROU	1-33:56	0			
37	2431	Neringa Aidietytė	LTU	1-34:01	0			
38	1580	Yadira Guamán	ECU	1-34:47	0			
39	2056	Viktória Madarász	HUN	1-34:48	0			
40	2281	Ayman Kozhakhmetova	KAZ	1-35:00	0			
41	1439	Arabelly Orjuela	COL	1-35:05	0			
42	2001	Despina Zapounidou	GRE	1-35:19	0			
43	2681	Paulina Buziak	POL	1-35:23	2			
44	2017	Mayra Herrera	GUA	1-35:33	2			
45	1206	Anastasiya Yatsevich	BLR	1-35:41	0			
46	2731	Vera Santos	POR	1-35:51	0			
47	1582	Paola Pérez	ECU	1-37:05	0			
48	1316	Rachel Seaman	CAN	1-37:36	0			
49	2993	Mária Czaková	SVK	1-37:43	1			
50	1733	Anne Halkivaha	FIN	1-38:49	0			
51	3355	Milángela Rosales	VEN	1-42:46	1
AC	2864	Olga Kaniskina	RUS	1-25:09	1	DQ	
AC	3097	Semiha Mutlu	TUR	1-35:33	0	DQ	
AC	3190	Olena Shumkina	UKR	1-36:42	0	DQ	
AC	2868	Anisya Kirdyapkina	RUS	1-26:26	0	DQ	
