Pos	Nr	Walker	NOC	Time	Warnings			
1	2771	Olga Kaniskina	RUS	1-26:31	1	OB	Gold	
2	2530	Kjersti Tysse-Plätzer	NOR	1-27:07	1		Silver	
3	2078	Elisa Rigaudo	ITA	1-27:12	0		Bronze	
4	1390	Liu Hong	CHN	1-27:17	0			
5	1600	María Vasco	ESP	1-27:25	2			
6	1614	Beatriz Pascual	ESP	1-27:44	0			
7	2046	Olive Loughnane	IRL	1-27:45	1			
8	2642	Ana Cabecinha	POR	1-27:46	0			
9	2641	Vera Santos	POR	1-28:14	0			
10	1173	Rita Turova	BLR	1-28:26	0			
11	2786	Tatyana Sibileva	RUS	1-28:28	0			
12	1403	Shi Na	CHN	1-29:08	1			
13	2213	Mayumi Kawasaki	JPN	1-29:43	1			
14	1891	Sabine Zimmer	GER	1-30:19	0			
15	2376	Sonata Milušauskaitė	LTU	1-30:26	0			
16	3093	Vira Zozulia	UKR	1-30:31	1			
17	1605	María José Povés	ESP	1-30:52	0			
18	2361	Kristina Saltanovič	LTU	1-31:03	0			
19	1070	Jane Saville	AUS	1-31:17	1			
20	2593	Sylwia Korzeniowska	POL	1-31:19	1			
21	1810	Jo Jackson	GBR	1-31:33	2			
22	1863	Melanie Seeger	GER	1-31:56	0			
23	2705	Ana Maria Groza	ROU	1-32:16	0			
24	1937	Evangelia Xinou	GRE	1-32:19	0			
25	2214	Sachiko Konishi	JPN	1-32:21	0			
26	1525	Zuzana Schindlerová	CZE	1-32:57	0			
27	1069	Claire Woods	AUS	1-33:02	1			
28	2308	Kim Mi-Jeong	KOR	1-33:55	0			
29	2238	Svetlana Tolstaya	KAZ	1-34:03	0			
30	3162	Joanne Dow	USA	1-34:15	1			
31	2940	Zuzana Malíková	SVK	1-34:33	0			
32	1184	Snezhana Yurchenko	BLR	1-35:33	0			
33	3127	Nadiya Prokopuk	UKR	1-35:50	0			
34	1427	Sandra Zapata	COL	1-36:18	1			
35	1561	Johana Ordóñez	ECU	1-36:26	0			
36	1218	Tânia Spindler	BRA	1-36:46	0			
37	1577	Verónica Colindres	ESA	1-36:52	0			
38	2004	Edina Füsti	HUN	1-37:03	0			
39	1061	Kellie Wapshott	AUS	1-37:59	0			
40	1936	Despina Zapounidou	GRE	1-39:11	0			
41	2327	Jolanta Dukure	LAT	1-41:03	0			
42	1976	Evelyn Núñez	GUA	1-44:13	0	
AC	1938	Athanasia Tsoumeleka	GRE	1-27:54	0	DQ	
