Pos	Nr	Walker	NOC	Time	Warnings			
1	2765	Valeriy Borchin	RUS	1-19:01	1		Gold	
2	1555	Jefferson Pérez	ECU	1-19:15	1		Silver	
3	1055	Jared Tallent	AUS	1-19:42	0		Bronze	
4	1377	Wang Hao	CHN	1-19:47	1			
5	2087	Ivano Brugnetti	ITA	1-19:51	2			
6	1064	Luke Adams	AUS	1-19:57	0			
7	1610	Francisco Javier Fernández	ESP	1-20:32	0			
8	2050	Robbie Heffernan	IRL	1-20:36	1			
9	1421	Luis Fernando López	COL	1-20:59	2			
10	1378	Chu Yafei	CHN	1-21:17	1			
11	2220	Yuki Yamazaki	JPN	1-21:18	2			
12	1620	Juan Manuel Molina	ESP	1-21:25	2			
13	1626	Benjamín Sánchez	ESP	1-21:38	0			
14	1244	José Alessandro Bagio	BRA	1-21:43	1			
15	2432	Eder Sánchez	MEX	1-21:53	1			
16	2212	Koichiro Morioka	JPN	1-21:57	0			
17	2766	Ilya Markov	RUS	1-22:02	1			
18	2101	Giorgio Rubino	ITA	1-22:11	0			
19	2270	David Kimutai	KEN	1-22:21	0			
20	1559	Rolando Saquipay	ECU	1-22:32	0			
21	2531	Erik Tysse	NOR	1-22:43	0			
22	1163	Ivan Trotsky	BLR	1-22:55	0			
23	2302	Kim Hyeon-Seop	KOR	1-22:57	1			
24	3098	Andriy Kovenko	UKR	1-22:59	0			
25	1866	André Höhne	GER	1-23:13	2			
26	2942	Matej Tóth	SVK	1-23:17	1			
27	3028	Hatem Ghoula	TUN	1-23:44	0			
28	1188	Denis Simanovich	BLR	1-23:53	0			
29	2568	Rafał Augustyn	POL	1-24:25	1			
30	1380	Dong Jimin	CHN	1-24:34	2			
31	1424	James Rendón	COL	1-24:41	0			
32	2663	João Vieira	POR	1-25:05	0			
33	2306	Park Chil-Seong	KOR	1-25:07	1			
34	3029	Hassanine Sbai	TUN	1-25:23	0			
35	2364	Marius Žiūkas	LTU	1-25:36	0			
36	2434	David Mejía	MEX	1-26:45	2			
37	2122	Jean-Jacques Nkouloukidi	ITA	1-26:53	0			
38	1554	Andrés Chocho	ECU	1-27:09	0			
39	1434	Allan Segura	CRC	1-27:10	0			
40	1028	Juan Manuel Cano	ARG	1-27:17	0			
41	2897	Predrag Filipović	SRB	1-28:15	1			
42	2239	Rustam Kuvatov	KAZ	1-28:25	0			
43	3164	Kevin Eastler	USA	1-28:44	0			
44	1162	Sergey Chernov	BLR	1-29:38	0			
45	2664	Sérgio Vieira	POR	1-29:51	1			
46	2625	Jakub Jelonek	POL	1-30:37	0			
47	2419	Feodosiy Ciumacenco	MDA	1-31:37	1			
48	1012	Mohamed Ameur	ALG	1-32:21	2			
49	3041	Recep Çelik	TUR	1-32:54	0
