Pos	Nr	Walker	NOC	Time	Warnings			
1	125	Wang Zhen	CHN	1-19:14	2		Gold	
2	122	Cai Zelin	CHN	1-19:26	0		Silver	
3	101	Dane Bird-Smith	AUS	1-19:37	1		Bronze	
4	112	Caio Bonfim	BRA	1-19:42	2			
5	155	Christopher Linke	GER	1-20:00	0			
6	151	Tom Bosworth	GBR	1-20:13	1			
7	179	Daisuke Matsunaga	JPN	1-20:22	1			
8	176	Matteo Giupponi	ITA	1-20:27	1			
9	133	Esteban Soto	COL	1-20:36	1			
10	117	Evan Dunfee	CAN	1-20:49	0			
11	144	Miguel Ángel López	ESP	1-20:58	0			
12	118	Iñaki Gómez	CAN	1-21:12	2			
13	169	Manish Singh	IND	1-21:21	1			
14	198	Ever Palma	MEX	1-21:24	0			
15	128	Éider Arévalo	COL	1-21:36	0			
16	235	Ruslan Dmytrenko	UKR	1-21:40	1			
17	188	Kim Hyeon-Seop	KOR	1-21:44	1			
18	156	Hagen Pohle	GER	1-21:44	0			
19	211	Jakub Jelonek	POL	1-21:52	2			
20	157	Alexandros Papamikhail	GRE	1-21:55	1			
21	178	Isamu Fujisawa	JPN	1-22:03	2			
22	145	Álvaro Martín	ESP	1-22:11	0			
23	195	Pedro Gómez	MEX	1-22:22	0			
24	240	Richard Vargas	VEN	1-22:23	0			
25	121	Yerko Araya	CHI	1-22:23	2			
26	194	Marius Žiūkas	LTU	1-22:27	0			
27	119	Ben Thorne	CAN	1-22:28	1			
28	162	Máté Helebrandt	HUN	1-22:31	2			
29	129	Luis Fernando López	COL	1-22:32	1			
30	232	Ersin Tacir	TUR	1-22:53	1			
31	215	João Vieira	POR	1-23:03	0			
32	225	Anton Kučmín	SVK	1-23:17	0			
33	102	Rhydian Cowley	AUS	1-23:30	1			
34	183	Georgy Sheyko	KAZ	1-23:31	0			
35	236	Ihor Hlavan	UKR	1-23:32	0			
36	230	Hassanine Sbai	TUN	1-23:44	0			
37	137	Brian Pintado	ECU	1-23:44	0			
38	153	Nils Brembach	GER	1-23:46	0			
39	123	Chen Ding	CHN	1-23:54	0			
40	237	Nazar Kovalenko	UKR	1-24:40	0			
41	206	Paolo Yurivilca	PER	1-24:48	1			
42	181	Eiki Takahashi	JPN	1-24:59	1			
43	106	Aleksandr Lyakhovich	BLR	1-25:04	0			
44	220	Lebogang Shange	RSA	1-25:07	0			
45	110	Marco Antonio Rodríguez	BOL	1-25:11	0			
46	173	Alex Wright	IRL	1-25:25	0			
47	209	Artur Brzozowski	POL	1-25:29	2			
48	202	Erik Tysse	NOR	1-26:06	0			
49	149	Kévin Campion	FRA	1-26:22	1			
50	158	Erick Barrondo	GUA	1-27:01	1			
51	100	Juan Manuel Cano	ARG	1-27:27	1			
52	199	Julio César Salazar	MEX	1-27:38	0			
53	216	Sérgio Vieira	POR	1-27:39	0			
54	170	Hamid Reza Zooravand	IRI	1-27:45	0			
55	141	Francisco Arcilla	ESP	1-27:50	0			
56	161	José María Raymundo	GUA	1-29:07	0			
57	187	Choe Byeong-Kwang	KOR	1-29:08	2			
58	221	Wayne Snyman	RSA	1-29:20	0			
59	192	Marius Šavelskis	LTU	1-29:26	0			
60	241	Nguyễn Thành Ngưng	VIE	1-30:01	1			
61	186	Byeon Yeong-Jun	KOR	1-30:38	1			
62	231	Mert Atlı	TUR	1-31:36	0			
63	115	Moacir Zimmermann	BRA	1-33:58	2
