Pos	Nr	Walker	NOC	Time	Warnings			
1	2027	Athanasia Tsoumeleka	GRE	1-29:12	2		Gold	
2	2887	Olimpiada Ivanova	RUS	1-29:16	0		Silver	
3	1089	Jane Saville	AUS	1-29:25	1		Bronze	
4	1206	Rita Turova	BLR	1-29:39	1			
5	1933	Melanie Seeger	GER	1-29:52	0			
6	2201	Elisa Rigaudo	ITA	1-29:57	0			
7	1628	María Vasco	ESP	1-30:06	2			
8	1376	Wang Liping	CHN	1-30:16	2			
9	1174	Yelena Ginko	BLR	1-30:22	2			
10	2003	Athina Papagianni	GRE	1-30:37	1			
11	2182	Rossella Giordano	ITA	1-30:39	1			
12	2624	Kjersti Tysse-Plätzer	NOR	1-30:49	0			
13	2955	Yuliya Voyevodina	RUS	1-31:02	0			
14	1372	Song Hongjuan	CHN	1-31:27	0			
15	1205	Valya Tsybulskaya	BLR	1-31:49	0			
16	1947	Sabine Zimmer	GER	1-31:59	0			
17	2916	Yelena Nikolayeva	RUS	1-32:16	0			
18	2199	Elisabetta Perrone	ITA	1-32:21	0			
19	2450	Kristina Saltanovič	LTU	1-32:22	0			
20	2729	Susana Feitor	POR	1-32:47	0			
21	2678	Sylwia Korzeniowska	POL	1-33:06	1			
22	3064	Zuzana Malíková	SVK	1-33:17	0			
23	2446	Sonata Milušauskaitė	LTU	1-33:36	0			
24	1492	Barbora Dibelková	CZE	1-33:37	0			
25	2733	Inês Henriques	POR	1-33:53	1			
26	2731	Maribel Gonçalves	POR	1-33:59	0			
27	2779	Norica Cîmpean	ROU	1-34:30	0			
28	2325	Svetlana Tolstaya	KAZ	1-34:43	0			
29	2785	Ana Maria Groza	ROU	1-34:56	0			
30	1582	Rocío Florido	ESP	1-35:32	1			
31	1991	Khristina Kokotou	GRE	1-35:43	1			
32	1350	Jiang Jing	CHN	1-35:56	0			
33	3145	Yeliz Ay	TUR	1-36:02	0			
34	2521	Victoria Palacios	MEX	1-36:07	1			
35	2490	Yuan Yu Fang	MAS	1-36:34	1			
36	1090	Natalie Saville	AUS	1-36:54	2			
37	2781	Daniela Cîrlan	ROU	1-37:14	0			
38	1097	Cheryl Webb	AUS	1-37:40	1			
39	3050	Marie Polli	SUI	1-37:53	1			
40	2271	Mayumi Kawasaki	JPN	1-37:56	1			
41	1216	Geovana Irusta	BOL	1-38:36	0			
42	3211	Vira Zozulia	UKR	1-38:45	0			
43	3356	Teresa Vaill	USA	1-38:47	2			
44	2098	Edina Füsti	HUN	1-39:45	0			
45	2420	Anita Liepiņa	LAT	1-39:54	0			
46	1423	Sandra Zapata	COL	1-42:22	1			
47	2814	Nicolene Cronje	RSA	1-42:37	0			
48	1256	Alessandra Picagevicz	BRA	1-46:21	0			
49	2040	Teresita Collado	GUA	1-46:41	1			
50	2320	Yelena Kuznetsova	KAZ	1-49:08	1			
51	2552	Yolène Raffin	MRI	1-49:28	0			
52	3036	Fumilay da Fonseca	STP	2-04:54	0	
