Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1832	Greg Rutherford	GBR	8.08 (4)	8.31 (1)	Gold		
2	1066	Mitch Watt	AUS	7.99 (9)	8.16 (2)	Silver		
3	3211	Will Claye	USA	7.99 (8)	8.12 (3)	Bronze		
4	3002	Michel Tornéus	SWE	8.03 (6)	8.11 (4)			
5	1892	Sebastian Bayer	GER	7.92 (12)	8.10 (5)			
6	1839	Chris Tomlinson	GBR	8.06 (5)	8.07 (6)			
7	1219	Duda	BRA	8.11 (1)	8.01 (7)			
8	2785	Godfrey Khotso Mokoena	RSA	8.02 (7)	7.93 (8)			
9	1043	Henry Frayne	AUS	7.95 (11)	7.85 (9)			
10	3218	Marquise Goodwin	USA	8.11 (2)	7.80 (10)			
11	2818	Aleksandr Menkov	RUS	8.09 (3)	7.78 (11)			
12	1151	Tyrone Smith	BER	7.97 (10)	7.70 (12)	
