Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3312	Brittney Reese	USA	6.57 (7)	7.12 (1)	Gold		
2	2897	Yelena Sokolova	RUS	6.71 (3)	7.07 (2)	Silver		
3	3284	Janay DeLoach	USA	6.81 (2)	6.89 (3)	Bronze		
4	2407	Ineta Radēviča	LAT	6.68 (4)	6.88 (4)			
5	2869	Lyudmila Kolchanova	RUS	6.57 (6)	6.76 (5)			
6	1191	Anastasiya Mironchik-Ivanova	BLR	6.66 (5)	6.72 (6)			
7	1784	Éloyse Lesueur	FRA	6.48 (8)	6.67 (7)			
8	1873	Shara Proctor	GBR	6.83 (1)	6.55 (8)			
9	1197	Veronika Shutkova	BLR	6.40 (10)	6.54 (9)			
10	2957	Ivana Španović	SRB	6.41 (9)	6.35 (10)	
AC	3095	Karin Melis	TUR	6.80 (AC)	– (DNS)		DQ
AC	3196	Marharyta Tverdokhlib	UKR	6.19 (AC)	–		DQ
AC	2882	Anna Nazarova	RUS	6.62 (AC)	6.77 (AC)		DQ
