Pos	Nr	Athlete	NOC	Qualifying	Final			
1	1323	Tianna Bartoletta	USA	6.70 (5)	7.17 (1)	Gold		
2	1368	Brittney Reese	USA	6.78 (3)	7.15 (2)	Silver		
3	1193	Ivana Španović	SRB	6.87 (1)	7.08 (3)	Bronze		
4	764	Malaika Mihambo	GER	6.82 (2)	6.95 (4)			
5	1054	Ese Brume	NGR	6.67 (6)	6.81 (5)			
6	631	Ksenija Balta	EST	6.71 (4)	6.79 (6)			
7	340	Brooke Stratton	AUS	6.56 (9)	6.74 (7)			
8	723	Jazmin Sawyers	GBR	6.53 (12)	6.69 (8)			
9	1174	Darya Klishina	RUS	6.64 (8)	6.63 (9)			
10	765	Sosthene Moguenara	GER	6.55 (11)	6.61 (10)			
11	726	Lorraine Ugen	GBR	6.65 (7)	6.58 (11)
