Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3326	Dwight Phillips	USA	8.31 (1)	8.59 (1)	Gold		
2	3311	John Moffitt	USA	8.17 (5)	8.47 (2)	Silver		
3	1600	Joan Lino Martínez	ESP	8.10 (6)	8.32 (3)	Bronze		
4	2217	James Beckford	JAM	8.20 (4)	8.31 (4)			
5	1841	Chris Tomlinson	GBR	8.23 (3)	8.25 (5)			
6	1958	Ignisious Gaisah	GHA	8.05 (12)	8.24 (6)			
7	1471	Iván Pedroso	CUB	8.05 (11)	8.23 (7)			
8	2799	Bogdan Țărus	ROU	8.08 (8)	8.21 (8)			
9	2939	Vitaly Shkurlatov	RUS	8.09 (7)	8.04 (9)			
10	2550	Jonathan Chimier	MRI	8.28 (2)	8.03 (10)			
11	1596	Yago Lamela	ESP	8.06 (10)	7.98 (11)			
12	1770	Salim Sdiri	FRA	8.08 (9)	7.94 (12)
