Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3073	Jeff Henderson	USA	8.20 (2)	8.38 (1)	Gold		
2	2902	Luvo Manyonga	RSA	8.12 (4)	8.37 (2)	Silver		
3	2473	Greg Rutherford	GBR	7.90 (10)	8.29 (3)	Bronze		
4	3086	Jarrion Lawson	USA	7.99 (7)	8.25 (4)			
5	2231	Wang Jianan	CHN	8.24 (1)	8.17 (5)			
6	3041	Emiliano Lasa	URU	8.14 (3)	8.10 (6)			
7	2037	Henry Frayne	AUS	8.01 (6)	8.06 (7)			
8	2420	Kafétien Gomis	FRA	7.89 (11)	8.05 (8)			
9	2908	Ruswahl Samaai	RSA	8.03 (5)	7.97 (9)			
10	2041	Fabrice Lapierre	AUS	7.96 (8)	7.87 (10)			
11	2227	Huang Changzhou	CHN	7.95 (9)	7.86 (11)			
12	2618	Damar Forbes	JAM	7.85 (12)	7.82 (12)
