Pos	Nr	Athlete	NOC	R1	Final			
1	2297	Ezekiel Kemboi	KEN	8:20.97 (2 h3)	8:18.56 (1)	Gold		
2	1762	Mahiedine Mekhissi-Benabbad	FRA	8:16.23 (1 h1)	8:19.08 (2)	Silver		
3	2314	Abel Mutai	KEN	8:17.70 (3 h1)	8:19.73 (3)	Bronze		
4	1685	Roba Gari	ETH	8:20.68 (1 h3)	8:20.00 (4)			
5	2303	Brimin Kipruto	KEN	8:28.62 (1 h2)	8:23.03 (5)			
6	3223	Evan Jager	USA	8:16.61 (2 h1)	8:23.87 (6)			
7	2455	Hamid Ezzine	MAR	8:21.25 (3 h3)	8:24.90 (7)			
8	3208	Donn Cabral	USA	8:21.46 (4 h3)	8:25.91 (8)			
9	3071	Tarık Akdağ	TUR	8:17.85 (4 h1)	8:27.64 (9)			
10	2482	Ion Luchianov	MDA	8:22.09 (5 h3)	8:28.15 (10)			
11	2463	Brahim Taleb	MAR	8:29.02 (3 h2)	8:32.40 (11)			
12	1691	Nahom Mesfin	ETH	8:18.16 (5 h1)	8:35.12 (12)			
13	2133	Yuri Floriani	ITA	8:29.01 (2 h2)	8:40.07 (13)			
AC r2/2	1723	Jukka Keskisalo	FIN	8:29.13 (4 h2)	– (AC)			
AC r2/2	3111	Benjamin Kiplagat	UGA	8:18.44 (6 h1)	– (AC)			
5 h2 r1/2	2804	Nikolay Chavkin	RUS	8:29.72 (5 h2)	–			
6 h2 r1/2	1034	Youcef Abdi	AUS	8:29.81 (6 h2)	–			
6 h3 r1/2	1006	Khaled Belabbas	ALG	8:22.32 (6 h3)	–			
7 h1 r1/2	3064	Amor Ben Yahia	TUN	8:22.70 (7 h1)	–			
7 h2 r1/2	3109	Jacob Araptany	UGA	8:35.85 (7 h2)	–			
7 h3 r1/2	1287	Alex Genest	CAN	8:22.62 (7 h3)	–			
8 h1 r1/2	3349	José Gregorio Peña	VEN	8:24.06 (8 h1)	–			
8 h2 r1/2	1770	Vincent Zouaoui-Dandrieux	FRA	8:36.96 (8 h2)	–			
8 h3 r1/2	3148	Vadym Slobodeniuk	UKR	8:23.35 (8 h3)	–			
9 h1 r1/2	2368	Ali Ahmed Al-Amri	KSA	8:26.22 (9 h1)	–			
9 h2 r1/2	3204	Kyle Alcorn	USA	8:37.11 (9 h2)	–			
9 h3 r1/2	2667	Łukasz Parszczyński	POL	8:30.08 (9 h3)	–			
10 h1 r1/2	2462	Hicham Al-Siguéni	MAR	8:35.89 (10 h1)	–			
10 h2 r1/2	2269	Artyom Kosinov	KAZ	8:42.27 (10 h2)	–			
10 h3 r1/2	1595	Weynay Ghebresilasie	ERI	8:37.57 (10 h3)	–			
11 h1 r1/2	1629	Ángel Mullera	ESP	8:38.07 (11 h1)	–			
11 h2 r1/2	2628	Mario Bazán	PER	8:51.95 (11 h2)	–			
11 h3 r1/2	2047	Albert Minczér	HUN	8:40.74 (11 h3)	–			
12 h1 r1/2	2715	Alberto Paulo	POR	8:40.74 (12 h1)	–			
12 h2 r1/2	1628	Abdel Aziz Merzougui	ESP	8:58.20 (12 h2)	–			
12 h3 r1/2	1835	Stuart Stokes	GBR	8:43.04 (12 h3)	–			
13 h1 r1/2	1926	Steffen Uliczka	GER	8:41.08 (13 h1)	–
