Pos	Nr	Athlete	NOC	Time (A)			
1	641	Almaz Ayana	ETH	29:17.45	Gold	WR	
2	946	Vivian Cheruiyot	KEN	29:32.53	Silver		
3	645	Tirunesh Dibaba	ETH	29:42.56	Bronze		
4	953	Alice Aprot	KEN	29:53.51			
5	956	Betsy Saina	KEN	30:07.78			
6	1349	Molly Huddle	USA	30:13.17			
7	1257	Yasemin Can	TUR	30:26.41			
8	642	Gelete Burka	ETH	30:26.66			
9	1068	Karoline Bjerkeli Grøvdal	NOR	31:14.07			
10	344	Eloise Wellings	AUS	31:14.94			
11	1350	Emily Infeld	USA	31:26.94			
12	1227	Sarah Lahti	SWE	31:28.43			
13	371	Diane Nukuri-Johnson	BDI	31:28.69			
14	1036	Susan Kuijken	NED	31:32.43			
15	717	Jo Pavey	GBR	31:33.44			
16	694	Jess Andrews	GBR	31:35.92			
17	801	Alexia Pappas	GRE	31:36.16			
18	922	Yuka Takashima	JPN	31:36.44			
19	962	Darya Maslova	KGZ	31:36.90			
20	919	Hanami Sekine	JPN	31:44.44			
21	1169	Dominique Scott	RSA	31:51.47			
22	501	Natasha Wodak	CAN	31:53.14			
23	1267	Alia Saeed	UAE	31:56.74			
24	1387	Sitora Khamidova	UZB	31:57.77			
25	482	Lanni Marchant	CAN	32:04.21			
26	1134	Carla Rocha	POR	32:06.05			
27	1176	Salome Nyirarukundo	RWA	32:07.80			
28	1044	Jip Vastenburg	NED	32:08.92			
29	622	Trihas Gebre	ESP	32:09.67			
30	866	Veronica Inglese	ITA	32:11.67			
31	418	Tatiele de Carvalho	BRA	32:38.21			
32	1008	Brenda Flores	MEX	32:39.08			
33	1346	Marielle Hall	USA	32:39.32			
34	720	Beth Potter	GBR	33:04.34			
35	1011	Marisol Romero	MEX	35:33.03
