Pos	Nr	Athlete	NOC	Time (A)			
1	1706	Tirunesh Dibaba	ETH	30:20.75	Gold		
2	2336	Sally Kipyego	KEN	30:26.37	Silver		
3	2327	Vivian Cheruiyot	KEN	30:30.44	Bronze		
4	1710	Werknesh Kidane	ETH	30:39.38			
5	1713	Belaynesh Oljira	ETH	30:45.56			
6	1258	Shitaye Eshete	BRN	30:47.25			
7	1871	Jo Pavey	GBR	30:53.20			
8	1849	Julia Bleasdale	GBR	30:55.63			
9	2257	Hitomi Niiya	JPN	30:59.19			
10	2250	Kayoko Fukushi	JPN	31:10.35			
11	3294	Amy Hastings	USA	31:10.69			
12	3277	Janet Cherobon-Bawcom	USA	31:12.68			
13	3323	Lisa Uhl	USA	31:12.80			
14	2729	Sara Moreira	POR	31:16.44			
15	2100	Fionnuala Britton	IRL	31:46.71			
16	2263	Mika Yoshikawa	JPN	31:47.67			
17	1950	Sabrina Mockenhaupt	GER	31:50.35			
18	2151	Nadia Ejjafini	ITA	31:57.03			
19	3191	Olha Skrypak	UKR	32:14.59			
20	1084	Eloise Wellings	AUS	32:25.43
AC	2861	Yelizaveta Grechishnikova	RUS	32:11.32		DQ
