Pos	Nr	Athlete	NOC	Time (A)			
1	1662	Kenenisa Bekele	ETH	27:01.17	
2	1663	Sileshi Sihine	ETH	27:02.77		
3	2275	Micah Kogo	KEN	27:04.11		
4	2243	Moses Masai	KEN	27:04.11			
5	3324	Zersenay Tadese	ERI	27:05.11			
6	1664	Haile Gebrselassie	ETH	27:06.68			
7	2281	Martin Mathathi	KEN	27:08.25			
8	2688	Ahmad Hassan Abdullah	QAT	27:23.75			
9	2971	Fabiano Naasi	TAN	27:25.33			
10	3051	Boniface Kiprop	UGA	27:27.28			
11	3047	Selim Bayrak	TUR	27:29.33			
12	1571	Kidane Tadesse	ERI	27:36.11			
13	3227	Galen Rupp	USA	27:36.99			
14	2970	Dickson Mkami	TAN	27:48.03			
15	3280	Abdi Abdirahman	USA	27:52.53			
16	2404	Abdellah Falil	MAR	27:53.14			
17	1588	Juan Carlos de la Ossa	ESP	27:54.20			
18	1252	Hasan Mahboob	BRN	27:55.14			
19	2857	Dieudonné Disi	RWA	27:56.74			
20	2686	Essa Ismail Rashed	QAT	27:58.67			
21	2975	Samwel Shauri	TAN	28:06.26			
22	2695	Felix Kibore	QAT	28:11.92			
23	1615	Carles Castillejo	ESP	28:13.68			
24	1584	Ayad Lamdassem	ESP	28:13.73			
25	3244	Jorge Torres	USA	28:13.93			
26	2029	Surendra Singh	IND	28:13.97			
27	1084	Günther Weidlinger	AUT	28:14.38			
28	2199	Kensuke Takezawa	JPN	28:23.28			
29	2436	Juan Carlos Romero	MEX	28:26.57			
30	2829	Sergey Ivanov	RUS	28:34.72			
31	2211	Takayuki Matsumiya	JPN	28:39.77			
32	1572	Teklemariam Medhin	ERI	28:54.33			
33	1313	Eric Gillis	CAN	29:08.10			
34	2673	Rui Pedro da Silva	POR	29:09.03			
35	2435	Alejandro Suárez	MEX	29:24.78
