Sport_Nationality Female(OOC) Male(OOC) Female(IC) Male(IC) Male(BLOOD_IN_COMPETITION) total_analytical_ADRVs total_non_analytical_ADRVs total_ADRVs
Athletics 23 23 74 48 1 3 - 170 72 242
ALGERIA - - 1 1 - - - 2 - 2
BELGIUM - - - - - - - - 1 1
AUSTRALIA - 1 - - - - - 1 1 2
AZERBAIJAN 1 - - 2 - - - 3 - 3
BAHAMAS - - 1 - - - - 1 - 1
BAHRAIN - - - 1 - - - 1 - 1
BARBADOS 1 - - - - - - 1 - 1
BELARUS - 3 - - - - - 3 - 3
BOSNIA_AND_HERZEGOVINA - - - 1 - - - 1 - 1
BOTSWANA - 1 - - - - - 1 - 1
BRAZIL 2 - 2 1 - - - 5 - 5
BULGARIA 1 - 1 - - - - 2 - 2
CANADA - - 1 - - - - 1 - 1
CHINA 5 11 3 7 1 3 - 30 2 32
COLOMBIA - 1 - 2 - - - 3 - 3
CROATIA - - - 1 - - - 1 - 1
CYPRUS - - 1 3 - - - 4 - 4
CZECH_REPUBLIC - - 1 - - - - 1 - 1
ETHIOPIA - - 2 3 - - - 5 1 6
FRANCE - - 2 1 - - - 3 3 6
GERMANY - - - - - - - - 1 1
GREECE - 1 1 - - - - 2 - 2
INDIA - - 10 10 - - - 20 - 20
ITALY - - 8 1 - - - 9 2 11
JAMAICA - - - - - - - - 2 2
JAPAN - - - 1 - - - 1 - 1
KAZAKHSTAN 1 - 1 1 - - - 3 - 3
KENYA - 1 20 3 - - - 24 2 26
LITHUANIA - - - - - - - - 1 1
MOROCCO 1 - 3 - - - - 4 6 10
NIGERIA - - - 1 - - - 1 - 1
NORWAY - - - - - - - - 2 2
PORTUGAL - - 2 - - - - 2 - 2
RÉUNION - - 1 - - - - 1 - 1
ROMANIA - - 1 1 - - - 2 1 3
RUSSIAN_FEDERATION 3 - - 2 - - - 5 15 20
SAUDI_ARABIA - - - - - - - - 1 1
SLOVAKIA - - - - - - - - 1 1
SOUTH AFRICA 1 1 2 3 - - - 7 - 7
SPAIN - - 3 1 - - - 4 1 5
SUDAN 1 - - - - - - 1 - 1
SWITZERLAND - - - - - - - - 1 1
TURKEY - - - - - - - 1 7 8
URKRAINE 1 1 1 - - - - 3 3 6
UNITED_ARAB EMIRATES - - - - - - - - 2 2
UNITED_KINGDOM 1 1 - - - - - 2 3 5
UNITED_STATES 1 1 2 1 - - - 5 13 18
ZAMBIA 2 - 2 - - - - 4 - 4
