Sport_Nationality Female(OOC) Male(OOC) Female(IC) Male(IC) Male(BLOOD_IN_COMPETITION) total_analytical_ADRVs total_non_analytical_ADRVs total_ADRVs
ALGERIA - - - 1 - - - 1 - 1
AZERBAIJAN 1 - - 1 - - - 2 - 2
BAHRAIN - - 1 - - - - 1 - 1
BELARUS 1 - 3 1 1 - - 6 2 8
BELGIUM - - 1 1 - - - 2 - 2
BRAZIL - - 3 - - - - 3 - 3
BULGARIA - - 1 1 - - - 2 - 2
CANADA - - 3 - - - - 3 - 3
CHILE - - 1 - - - - 1 - 1
CHINA 11 - 1 - - - - 12 - 12
COLOMBIA - - - - - - - - 1 1
CROATIA - 1 - - - - - 1 - 1
ECUADOR - - 1 1 - - - 2 - 2
ESTONIA 1 - - - - - - 1 1 2
ETHIOPIA - - 1 1 - - - 2 1 3
FRANCE 2 - 4 2 - - - 8 - 8
GERMANY - - 2 - - - - 2 1 3
GHANA - - 1 - - - - 1 - 1
GREECE - - 1 - - - - 1 - 1
GUATEMALA - - - 1 - - - 1 - 1
INDIA 2 - 12 7 - - - 21 - 21
IRAN - - 3 1 - - - 4 - 4
IRAQ 2 - - - - - - 2 - 2
ITALY - 1 1 1 - - - 3 4 7
KENYA - 5 2 4 - - - 11 - 11
KOREA - - 1 - - - - 1 - 1
MACEDONIA - 1 - - - - - 1 - 1
MALTA - - - - - - - - 1 1
MEXICO - - 2 2 - - - 4 - 4
MOROCCO - - 3 1 - - - 4 4 8
NIGERIA 1 - 1 3 - - - 5 - 5
PERU - - - 3 - - - 3 - 3
POLAND 1 1 - - - - - 2 - 2
PORTUGAL - - - 2 - - - 2 1 3
ROMANIA - - 1 - - - - 1 - 1
RUSSIAN_FEDERATION 8 5 7 7 - - - 27 12 39
RWANDA - - - - - - - - 1 1
SAUDI_ARABIA - - 3 - - - - 3 1 4
SENEGAL - - 1 - - - - 1 - 1
SERBIA - - 1 - - - - 1 - 1
SLOVAKIA - - 1 - - - - 1 - 1
SOUTH_AFRICA - - 1 1 - - - 2 1 3
SPAIN - - 2 2 - - - 4 4 8
SRI_LANKA - - - 1 - - - 1 - 1
SWEDEN 3 - - - - - - 3 1 4
SWITZERLAND - 1 - 1 - - - 2 - 2
THAILAND 1 - - - - - - 1 - 1
TURKEY - - - 2 - - - 2 6 8
UKRAINE 2 - 2 1 - - - 5 2 7
UNITED_KINGDOM - 1 - - - - - 1 - 1
UNITED_STATES - - 3 1 - - - 4 1 5
URUGUAY 1 - - - - - - 1 - 1
VENEZUELA - - 1 - - - - 1 - 1
