
ID	Name	Nation(s)	Sport(s)	Era	
105610	Alan Webb	USA	ATH	2004	
114604	Hais Welday	ERI	ATH	2008	
105607	Mulugeta Wendimu	ETH	ATH	2004—2008	
115323	Andrew Wheating	USA	ATH	2008—2012	
124245	Dawit Wolde	ETH	ATH	2012—2016	
127184	Aman Wote	ETH	ATH	2012—2016	
105602	Mounir Yemmouni	FRA	ATH	2004	
136156	Saud Al-Zaabi	UAE	ATH	2016	
73111	Ali Mabrouk El-Zaidi	LBA	ATH	1996—2012	
114601	Antar Zerguelaïne	ALG	ATH	2008	
66708	Branko Zorko	CRO YUG	ATH	1988—2004	
