ID	Name	Nation(s)	Sport(s)	Era	
121434	Marius Ionescu	ROU	ATH	2012—2016	
134720	Suehiro Ishikawa	JPN	ATH	2016	
108288	Ahmed Jumaa Jaber	QAT	ATH	2004	
133544	Segundo Jami	ECU	ATH	2016	
126222	Jang Sin-Gwon	KOR	ATH	2012	
124443	Jeong Jin-Hyeok	KOR	ATH	2012	
108271	Ji Yeong-Jun	KOR	ATH	2004	
108287	Jong Myong-Chol	PRK	ATH	2004	
108273	Zepherinus Joseph	LCA	ATH	2004	
134354	Gábor Józsa	HUN	ATH	2016	
123260	Wirimai Juwawo	ZIM	ATH	2012—2016	
134266	Mikhailis Kalomoiris	GRE	ATH	2016	
135034	Remigijus Kančys	LTU	ATH	2016	
125357	Bekir Karayel	TUR	ATH	2012—2016	
126281	Kári Steinn Karlsson	ISL	ATH	2012	
135219	Mynhardt Kauanivi	NAM	ATH	2016	
88949	Roman Kejžar	SLO	ATH	2000—2008	
121854	Mark Kenneally	IRL	ATH	2012	
134085	Daviti Kharazishvili	GEO	ATH	2016	
115505	Luke Kibet	KEN	ATH	2008	
86791	Yonas Kifle	ERI	ATH	2000—2012	
72943	Kim I-Yong	KOR	ATH	1996—2008	
115482	Kim Il-Nam	PRK	ATH	2008	
120081	Kim Kwang-Hyok	PRK	ATH	2012	
135640	Yonas Kinde	ROT	ATH	2016	
132604	Evans Kiplagat	AZE	ATH	2016	
136163	Jackson Kiprop	UGA	ATH	2016	
120117	Abraham Kiprotich	FRA	ATH	2012	
115467	Francis Kirwa	FIN	ATH	2008	
122863	Rachid Kisri	MAR	ATH	2012—2016	
134709	Hisanori Kitajima	JPN	ATH	2016	
125761	Primož Kobe	SLO	ATH	2012	
132963	Isaac Korir	BRN	ATH	2016	
134890	Wesley Korir	KEN	ATH	2016	
135857	Anton Kosmač	SLO	ATH	2016	
126058	Tamás Kovács	HUN	ATH	2012	
135459	Artur Kozłowski	POL	ATH	2016	
134838	Mikhail Krasilov	KAZ	ATH	2016	
135925	Christian Kreienbühl	SUI	ATH	2016	
125223	Jan Kreisinger	CZE	ATH	2012	
115474	Oleg Kulkov	RUS	ATH	2008	
108268	Tomoaki Kunichika	JPN	ATH	2004	
115504	Oleksandr Kuzin	UKR	ATH	2008	
134592	Stefano La Rosa	ITA	ATH	2016	
132272	El-Hadi Laameche	ALG	ATH	2016	
108256	El Hassan Lahssini	FRA	ATH	2004	
115501	Clement Lebopo	LES	ATH	2008	
120090	Lee Du-Haeng	KOR	ATH	2012	
108272	Lee Myeong-Seung	KOR	ATH	2004—2008	
115460	Martin Lel	KEN	ATH	2008	
115489	Constantino León	PER	ATH	2008	
108243	Li Zhuhong	CHN	ATH	2004—2008	
122509	Li Zicheng	CHN	ATH	2012	
123495	César Lizano	CRC	ATH	2012	
79741	Pavel Loskutov	EST	ATH	1996—2008	
88312	Kamiel Maase	NED	ATH	2000—2008	
135437	Raúl Machacuay	PER	ATH	2016	
115506	Simon Maine	LES	ATH	2008	
133235	Kamongwa Salukombo Makorobondo	COD	ATH	2016	
136038	Saidi Juma Makula	TAN	ATH	2016	
123196	Arturo Malaquias	MEX	ATH	2012	
89054	Alex Malinga	UGA	ATH	2000—2008	
115493	Takhir Mamashayev	KAZ	ATH	2008	
127188	Guor Marial	IOA SSD	ATH	2012—2016	
105694	José Manuel Martínez	ESP	ATH	2004—2008	
132334	Mariano Mastromarino	ARG	ATH	2016	
108293	Marcel Matanin	SVK	ATH	2004	
115473	Vasyl Matviychuk	UKR	ATH	2008	
125948	Abdellatif Meftah	FRA	ATH	2012	
115459	Deriba Merga	ETH	ATH	2008	
134264	Khristoforos Merousis	GRE	ATH	2016	
124080	Lee Merrien	GBR	ATH	2012	
121100	Amanuel Mesel	ERI	ATH	2012—2016	
115502	Tesfayohannes Mesfin	ERI	ATH	2008	
124439	Daniele Meucci	ITA	ATH	2012—2016	
135341	Sondre Nordstad Moen	NOR	ATH	2016	
123446	Stephen Mokoka	RSA	ATH	2012—2016	
132333	Luis Molina	ARG	ATH	2016	
134571	Tasama Moogas	ISR	ATH	2016	
120234	Pedro Mora	VEN	ATH	2012	
134468	Mohammad Jaafar Moradi	IRI	ATH	2016	
115509	Moses Mosuhli	LES	ATH	2008	
115488	Simon Munyutu	FRA	ATH	2008	
88292	Iaroslav Musinschi	MDA	ATH	2000—2012	
136124	Ercan Muslu	TUR	ATH	2016	
122051	Faustine Mussa	TAN	ATH	2012	
108241	Riyadh Al-Mustafa	BRN	ATH	2004—2008	
121789	Emmanuel Kipchirchir Mutai	KEN	ATH	2012	
136167	Munyo Solomon Mutai	UGA	ATH	2016	
123856	Jean-Pierre Mvuyekure	RWA	ATH	2012	
64327	João N'Tyamba	ANG	ATH	1988—2008	
105695	Fabiano Naasi	TAN	ATH	2004—2016	
108294	John Nada Saya	TAN	ATH	2004	
132658	Koen Naert	BEL	ATH	2016	
135227	Abdi Nageeye	NED	ATH	2016	
120865	Kentaro Nakamoto	JPN	ATH	2012	
136495	Pardon Ndhlovu	ZIM	ATH	2016	
65800	Ernest Ndissipou	CAF	ATH	1992—2004	
108250	Hailu Negussie	ETH	ATH	2004	
126404	Coolboy Ngamole	RSA	ATH	2012	
132650	Célestin Nihorimbere	BDI	ATH	2016	
132648	Abraham Niyonkuru	BDI	ATH	2016	
135022	Lebenya Nkoka	LES	ATH	2016	
108236	Joachim Nshimirimana	BDI	ATH	2004—2008	
75472	Mathias Ntawulikura	RWA	ATH	1988—2004	
108274	Mpesela Ntlot'soeu	LES	ATH	2004	
114615	Tiidrek Nurme	EST	ATH	2008—2016	
114986	Cuthbert Nyasango	ZIM	ATH	2008—2016	
135683	Sibusiso Nzima	RSA	ATH	2016	
108257	Matt O'Dowd	GBR	ATH	2004	
115465	Tsuyoshi Ogata	JPN	ATH	2008	
136174	Ihor Olefirenko	UKR	ATH	2016	
88391	Hélder Ornelas	POR	ATH	2000—2008	
136439	Luis Orta	VEN	ATH	2016	
124083	Scott Overall	GBR	ATH	2012	
136129	Kaan Kigen Özbilen	TUR	ATH	2016	
135431	Cristhian Pacheco	PER	ATH	2016	
124741	Raúl Pacheco	PER	ATH	2012—2016	
135593	Pak Chol	PRK	ATH	2016	
115481	Pak Song-Chol	PRK	ATH	2008—2012	
108280	José Ernani Palalia	MEX	ATH	2004	
123438	Paulo Roberto Paula	BRA	ATH	2012—2016	
108248	Toni Peña	ESP	ATH	2004	
133356	Richer Pérez	CUB	ATH	2016	
115466	Ruggero Pertile	ITA	ATH	2008—2016	
136406	Andrey Petrov	UZB	ATH	2016	
134123	Philipp Pflieger	GER	ATH	2016	
106642	Byron Piedra	ECU	ATH	2004—2016	
79740	António Carlos Piña	CPV	ATH	1996—2004	
108270	Valery Pisarev	KGZ	ATH	2004	
108259	Nikos Polias	GRE	ATH	2004	
134504	Paul Pollock	IRL	ATH	2016	
124677	Kostas Poulios	GRE	ATH	2012	
121400	Roman Prodius	MDA	ATH	2012—2016	
132717	Vladislav Pryamov	BLR	ATH	2016	
108275	Mindaugas Pukštas	LTU	ATH	2004	
115491	Yousuf Othman Qader	QAT	ATH	2008	
77613	Azat Rakipov	BLR EUN	ATH	1992—2004	
134425	Kheta Ram	IND	ATH	2016	
75313	Hendrick Ramaala	RSA	ATH	1996—2008	
108295	Samson Ramadhani	TAN	ATH	2004—2012	
127189	Tsepo Ramonene	LES	ATH	2012—2016	
108239	André Luiz Ramos	BRA	ATH	2004	
135114	Ricardo Ramos	MEX	ATH	2016	
120679	Aleksey Reunkov	RUS	ATH	2012	
108249	Julio Rey	ESP	ATH	2004—2008	
115477	Ri Kum-Song	PRK	ATH	2008	
135548	Ricardo Ribas	POR	ATH	2016	
86826	José Ríos	ESP	ATH	2000—2008	
135884	Anđelko Rističević	SRB	ATH	2016	
105703	Dathan Ritzenhein	USA	ATH	2004—2012	
108258	Dan Robinson	GBR	ATH	2004—2008	
121223	Stepan Rogovtsov	BLR	ATH	2012—2016	
108246	Aguelmis Rojas	CUB	ATH	2004	
88984	Viktor Röthlin	SUI	ATH	2000—2012	
133242	Andrés Ruiz	COL	ATH	2016	
136175	Ihor Russ	UKR	ATH	2016	
136096	Atef Saad	TUN	ATH	2016	
132273	Hakim Sadi	ALG	ATH	2016	
115479	Nasar Sakar Saeed	BRN	ATH	2008	
120590	Dmitry Safronov	RUS	ATH	2012	
115503	Marílson dos Santos	BRA	ATH	2008—2016	
134718	Satoru Sasaki	JPN	ATH	2016	
108263	Haile Satayin	ISR	ATH	2004—2008	
115497	Atsushi Sato	JPN	ATH	2008	
134501	Kevin Seaward	IRL	ATH	2016	
124029	Dino Sefir	ETH	ATH	2012	
115469	Brian Sell	USA	ATH	2008	
127030	Vitaliy Shafar	UKR	ATH	2012	
115510	Mubarak Shami	QAT	ATH	2008	
135481	Yared Shegumo	POL	ATH	2016	
