ID	Name	Nation(s)	Sport(s)	Era	
75634	Helena Javornik	SLO	ATH	1996—2004	
120261	Caitriona Jennings	IRL	ATH	2012	
105432	Annemette Jensen	DEN	ATH	2004	
105411	Jeong Yun-Hui	KOR	ATH	2004—2012	
130900	Visiline Jepkesho	KEN	ATH	2016	
120281	Žana Jereb	SLO	ATH	2012	
89204	Olivera Jevtić	SRB SCG	ATH	2000—2016	
105438	Jo Bun-Hui	PRK	ATH	2004—2008	
114862	Helalia Johannes	NAM	ATH	2008—2016	
126922	Jon Kyong-Hui	PRK	ATH	2012	
88396	Jong Yong-Ok	PRK	ATH	2000—2008	
88236	Inga Juodeškienė	LTU	ATH	2000—2004	
131532	Christine Kalmer	RSA	ATH	2016	
115236	René Kalmer	RSA	ATH	2008—2012	
87005	Anikó Kálovics	HUN	ATH	2000—2012	
124670	Konstantina Kefala	GRE	ATH	2012	
121756	Mary Keitany	KEN	ATH	2012	
122391	Remalda Kergytė	LTU	ATH	2012	
132199	Sitora Khamidova	UZB	ATH	2016	
132197	Marina Khmelevskaya	UZB	ATH	2016	
114497	Hilda Kibet	NED	ATH	2008—2012	
131437	Kim Hye-Gyong	PRK	ATH	2016	
131438	Kim Hye-Song	PRK	ATH	2016	
114844	Kim Kum-Ok	PRK	ATH	2008—2016	
126921	Kim Mi-Gyong	PRK	ATH	2012	
124445	Kim Seong-Eun	KOR	ATH	2012	
114863	Lucia Kimani	BIH	ATH	2008—2016	
121087	Edna Kiplagat	KEN	ATH	2012	
107751	Lornah Kiplagat	NED	ATH	2004—2012	
130893	Helah Kiprop	KEN	ATH	2016	
125482	Ümmü Kiraz	TUR	ATH	2012	
120923	Ryoko Kizaki	JPN	ATH	2012	
114840	Martha Komu	KEN	ATH	2008	
130916	Mariya Korobitskaya	KGZ	ATH	2016	
114843	Salina Kosgei	KEN	ATH	2008	
131954	Olha Kotovska	UKR	ATH	2016	
105441	Ida Kovács	HUN	ATH	2004	
127041	Svetlana Kovgan	BLR	ATH	2012	
114467	Katarzyna Kowalska	POL	ATH	2008—2016	
114861	Melanie Kraus	GER	ATH	2008	
126977	Soumiya Labani	MAR	ATH	2012	
105412	Stine Larsen	NOR	ATH	2004	
105443	Mamokete Lechela	LES	ATH	2004	
105408	Lee Eun-Jeong	KOR	ATH	2004—2008	
130591	Lizzie Lee	IRL	ATH	2016	
114873	Lee Seon-Yeong	KOR	ATH	2008	
131944	Nataliya Lehonkova	UKR	ATH	2016	
131368	Iwona Lewandowska	POL	ATH	2016	
114889	Magda Lewy-Boulet	USA	ATH	2008	
105410	Li Helan	CHN	ATH	2004	
123694	Dace Lina	LAT	ATH	2012	
122395	Diana Lobačevskė	LTU	ATH	2012—2016	
130015	Leila Luik	EST	ATH	2016	
130017	Liina Luik	EST	ATH	2016	
130018	Lily Luik	EST	ATH	2016	
105444	Luvsanlkhündeviin Otgonbayar	MGL	ATH	2004—2016	
129394	Nary Ly	CAM	ATH	2016	
105449	Ulrike Maisch	GER	ATH	2004	
105451	Rakiya Maraoui-Quétier	FRA	ATH	2004	
129417	Lanni Marchant	CAN	ATH	2016	
130994	Ilona Marhele	LAT	ATH	2016	
131343	Carmen Martínez	PAR	ATH	2016	
131042	Tereza Master	MAW	ATH	2016	
129802	Matea Matošević	CRO	ATH	2016	
126882	Tanith Maxwell	RSA	ATH	2012	
125831	Andrea Mayr	AUT	ATH	2012—2016	
129178	Olga Mazuryonok	BLR	ATH	2016	
64552	Kerryn McCann	AUS	ATH	1996—2004	
121381	Rehaset Mehari	ERI	ATH	2012	
105003	Inés Melchor	PER	ATH	2004—2016	
124031	Aselefech Mergia	ETH	ATH	2012	
72692	Irina Mikitenko	GER KAZ	ATH	1996—2012	
129381	Militsa Mircheva	BUL	ATH	2016	
105001	Inês Monteiro	POR	ATH	2004—2008	
129227	Graciete Moreira	BRA	ATH	2016	
114466	Sara Moreira	POR	ATH	2008—2016	
105416	Tracey Morris	GBR	ATH	2004	
105448	Banuelia Mrashani	TAN	ATH	2004	
123866	Claudette Mukasakindi	RWA	ATH	2012—2016	
127178	Freya Murray	GBR	ATH	2012	
114853	Beata Naigambo	NAM	ATH	2008—2016	
114845	Yurika Nakamura	JPN	ATH	2008	
125343	Juventina Napoleao	TLS	ATH	2012	
65511	Márcia Narloch	BRA	ATH	1992—2004	
129938	Estela Navascués	ESP	ATH	2016	
131663	Neo Jie Shi	SGP	ATH	2016	
126374	Maja Neuenschwander	SUI	ATH	2012—2016	
101734	Chirine Njeim	LBN	ASK/ATH	2002—2016	
83383	Diane Nukuri-Johnson	BDI	ATH	2000—2016	
132241	Rutendo Nyahora	ZIM	ATH	2016	
105436	Épiphanie Nyirabaramé	RWA	ATH	2004—2008	
110413	Eva Nývltová-Vrabcová	CZE	ATH/CCS	2006—2016	
105452	Margaret Okayo	KEN	ATH	2004	
105403	Nuța Olaru	ROU	ATH	2004	
66344	Érika Olivera	CHI	ATH	1996—2016	
129751	Angie Orjuela	COL	ATH	2016	
114859	Kirsten Melkevik Otterbu	NOR	ATH	2008	
120925	Yoshimi Ozaki	JPN	ATH	2012	
105453	Lale Öztürk	TUR	ATH	2004	
105000	Krisztina Papp	HUN	ATH	2004—2016	
129896	Silvia Paredes	ECU	ATH	2016	
123447	María Peralta	ARG	ATH	2012—2016	
114878	Karina Pérez	MEX	ATH	2008—2012	
114850	Madaí Pérez	MEX	ATH	2008—2016	
120955	Slađana Perunović	MNE	ATH	2012—2016	
75378	Lyudmila Petrova	RUS	ATH	1996—2004	
131533	Dinah Phalula	RSA	ATH	2016	
105415	Anna Pichrtová	CZE	ATH	2004	
127037	Yolymar Pineda	VEN	ATH	2012—2016	
130917	Viktoriia Poliudina	KGZ	ATH	2016	
88353	María Portillo	PER	ATH	2000—2008	
114881	María José Pueyo	ESP	ATH	2008	
105422	María Dolores Pulido	ESP	ATH	2004	
120485	Leena Puotiniemi	FIN	ATH	2012	
129206	Rosmery Quispe	BOL	ATH	2016	
68762	Paula Radcliffe	GBR	ATH	1996—2008	
122880	Samira Al-Raïf	MAR	ATH	2012	
131718	Niluka Geethani Rajasekara	SRI	ATH	2016	
105431	Beáta Rakonczai	HUN	ATH	2004—2012	
131816	Sara Ramadhani	TAN	ATH	2016	
124638	Beverly Ramos	PUR	ATH	2012—2016	
105427	Clarisse Rasoarizay	MAD	ATH	2004	
105405	Corinne Raux	FRA	ATH	2004	
130451	Ourania Rebouli	GRE	ATH	2016	
129134	Els Rens	BEL	ATH	2016	
114872	Patricia Rétiz	MEX	ATH	2008	
75230	Colleen de Reuck	RSA USA	ATH	1992—2004	
89160	Jen Rhines	USA	ATH	2000—2008	
130455	Sofia Riga	GRE	ATH	2016	
114848	Nina Rillstone	NZL	ATH	2008	
121318	Marisol Romero	MEX	ATH	2012—2016	
121292	Natalia Romero	CHI	ATH	2012—2016	
105418	Beatriz Ros	ESP	ATH	2004	
105421	Sandra Ruales	ECU	ATH	2004—2008	
114852	Blake Russell	USA	ATH	2008	
105398	Naoko Sakamoto	JPN	ATH	2004	
67330	Jane Salumäe	EST	ATH	1996—2004	
105430	Helena Sampaio	POR	ATH	2004	
130219	Sonia Samuels	GBR	ATH	2016	
126853	San Ni Lar	MYA	ATH	2012	
105429	Angélica Sánchez	MEX	ATH	2004	
114879	Bertha Sánchez	COL	ATH	2008	
114868	Marily dos Santos	BRA	ATH	2008—2016	
130301	Anja Scherl	GER	ATH	2016	
125280	Ivana Sekyrová	CZE	ATH	2012	
105442	Svetlana Şepelev-Tcaci	MDA	ATH	2004	
123058	Risa Shigetomo	JPN	ATH	2012	
104976	Liliya Shobukhova	RUS	ATH	2004—2012	
114854	Vincenza Sicari	ITA	ATH	2008	
114885	Oksana Skliarenko	UKR	ATH	2008	
104981	Kim Smith	NZL	ATH	2004—2012	
130861	Irina Smolnikova	KAZ	ATH	2016	
114864	Kate Smyth	AUS	ATH	2008	
74655	Małgorzata Sobańska	POL	ATH	1996—2004	
129136	Manuela Soccol	BEL	ATH	2016	
105428	Simona Staicu	HUN	ATH	2004	
131957	Svitlana Stanko	UKR	ATH	2016	
121217	Anastasiya Starovoytova-Ivanova	BLR	ATH	2012—2016	
124446	Valeria Straneo	ITA	ATH	2012—2016	
121284	Lisa Christina Stublić	CRO	ATH	2012	
122178	Ana Subotić	SRB	ATH	2012	
121158	Jane Suuto	UGA	ATH	2012	
105425	Grażyna Syrek	POL	ATH	2004	
130503	Tünde Szabó	HUN	ATH	2016	
131353	Mary Tabal	PHI	ATH	2016	
114849	Luminița Talpoș	ROU	ATH	2008	
123101	Evelin Talts	EST	ATH	2012	
130748	Tomomi Tanaka	JPN	ATH	2016	
105423	Margarita Tapia	MEX	ATH	2004	
126902	Sharon Tavengwa	ZIM	ATH	2012	
123976	Gladys Tejeda	PER	ATH	2012—2016	
114882	Petra Teveli	HUN	ATH	2008	
131821	Natthaya Thanaronnawat	THA	ATH	2016	
114842	Irina Timofeyeva	RUS	ATH	2008	
130609	Maor Tiyouri	ISR	ATH	2016	
114888	Mamorallo Tjoka	LES	ATH	2008—2012	
131489	Paula Todoran	ROU	ATH	2016	
105454	Workenesh Tola	ETH	ATH	2004	
114883	Zuzana Tomas	SVK	ATH	2008	
105437	Sandra Torres	ARG	ATH	2004	
105397	Reiko Tosa	JPN	ATH	2004—2008	
114884	Gabriela Traña	CRC	ATH	2008—2012	
126190	Jess Trengove	AUS	ATH	2012—2016	
124511	Triyaningsih	INA	ATH	2012	
114866	Tabitha Tsatsa	ZIM	ATH	2008	
130038	Tirfi Tsegaye	ETH	ATH	2016	
130037	Tigist Tufa	ETH	ATH	2016	
114847	Dire Tune	ETH	ATH	2008	
130543	Kavita Tungar	IND	ATH	2016	
126884	Irvette van Blerk-van Zyl	RSA	ATH	2012—2016	
126046	Vanessa Veiga	ESP	ATH	2012	
130453	Panagiota Vlachaki	GRE	ATH	2016	
131820	Jane Vongvorachoti	THA	ATH	2016	
129801	Marija Vrajić	CRO	ATH	2016	
105417	Kenza Wahbi	MAR	ATH	2004	
122527	Wang Jiali	CHN	ATH	2012	
127177	Wang Xueqin	CHN	ATH	2012	
114858	Lisa Weightman	AUS	ATH	2008—2016	
83286	Benita Willis-Johnson	AUS	ATH	2000—2012	
114887	Mariana Dias Ximenes	TLS	ATH	2008	
114841	Mara Yamauchi	GBR	ATH	2008—2012	
105413	Liz Yelling	GBR	ATH	2004—2008	
130482	Christy Yiu	HKG	ATH	2016	
129545	Yue Chao	CHN	ATH	2016	
105407	Luminita Zaituc	GER	ATH	2004	
105399	Svetlana Zakharova	RUS	ATH	2004—2008	
130860	Gulzhanat Zhanatbek	KAZ	ATH	2016	
105402	Zhang Shujing	CHN	ATH	2004—2008	
114839	Zhu Xiaolin	CHN	ATH	2008—2012	
131008	Vaida Žūsinaitė	LTU	ATH	2016	
