ID	Name	Nation(s)	Sport(s)	Era	
114967	Kidane Tadesse	ERI	ATH	2008	
114979	Kensuke Takezawa	JPN	ATH	2008	
136168	Phillip Tarus	UGA	ATH	2016	
115330	Matt Tegenkamp	USA	ATH	2008—2012	
133619	Hiskel Tewelde	ERI	ATH	2016	
132469	Patrick Tiernan	AUS	ATH	2016	
135432	David Torrence	PER	ATH	2016	
115348	Tony Wamulwa	ZAM	ATH	2008	
83296	Günther Weidlinger	AUT	ATH	2000—2012	
74368	Jonathan Wyatt	NZL	ATH	1996—2004	
106581	Abdelhak Zakaria	BRN	ATH	2004—2008	
106578	Sultan Khamis Zaman	QAT	ATH	2004—2008	
