Pos	Competitor(s)	NOC	Distance			
1	Osleidys Menéndez	CUB	71.53	OR		
2	Steffi Nerius	GER	65.82			
3	Mirela Maniani	GRE	64.29			
4	Nikola Brejchová	CZE	64.23			
5	Sonia Bisset	CUB	63.54			
6	Laverne Eve	BAH	62.77			
7	Nora Aída Bicet	CUB	62.51			
8	Tetiana Liakhovych	UKR	61.75			
9	Savva Lika	GRE	60.91			
10	Taina Kolkkala	FIN	60.72			
11	Felicia Țilea-Moldovan	ROU	59.72			
12	Barbara Madejczyk	POL	58.22
