Pos	Competitor(s)	NOC	Distance			
1	Barbora Špotáková	CZE	71.42			
2	Christina Obergföll	GER	66.13			
3	Goldie Sayers	GBR	65.75			
4	Steffi Nerius	GER	65.29			
5	Osleidys Menéndez	CUB	63.35			
6	Barbara Madejczyk	POL	62.02			
7	Katharina Molitor	GER	59.64			
8	Mercedes Chilla	ESP	58.13			
9	Zhang Li	CHN	56.14			
10	Sinta Ozoliņa	LAT	53.38			
11	Felicia Țilea-Moldovan	ROU	53.04			
AC	Mariya Abakumova	RUS	70.78	DQ
