Pos	Competitor(s)	NOC	Distance			
1	Barbora Špotáková	CZE	69.55			
2	Christina Obergföll	GER	65.16			
3	Linda Stahl	GER	64.91			
4	Sunette Viljoen	RSA	64.53			
5	Lu Huihui	CHN	63.70			
6	Katharina Molitor	GER	62.89			
7	Martinka Ratej	SLO	61.62			
8	Madara Palameika	LAT	60.73			
9	Kathryn Mitchell	AUS	59.46			
10	Ásdís Hjálmsdóttir	ISL	59.08			
11	Liz Gleadle	CAN	58.78			
AC	Mariya Abakumova	RUS	59.34	DQ
