Pos	Competitor(s)	NOC	Distance	SBMD			
1	Andreas Thorkildsen	NOR	90.57	–	OR		
2	Ainārs Kovals	LAT	86.64	–			
3	Tero Pitkämäki	FIN	86.16	–			
4	Tero Järvenpää	FIN	83.95	–			
5	Teemu Wirkkala	FIN	83.46	–			
6	Jarrod Bannister	AUS	83.45	–			
7	Ilya Korotkov	RUS	83.15	–			
8	Vladimir Kozlov	BLR	82.06	–			
9	Vadims Vasiļevskis	LAT	81.32	–			
10	Scott Russell	CAN	80.90	–			
11	Magnus Arvidsson	SWE	80.16	–			
12	Vítězslav Veselý	CZE	76.76	–
