Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2515	Thomas Röhler	GER	83.01 (9)	90.30 (1)	Gold		
2	2700	Julius Yego	KEN	83.55 (6)	88.24 (2)	Silver		
3	2989	Keshorn Walcott	TTO	88.68 (1)	85.38 (3)	Bronze		
4	2521	Johannes Vetter	GER	85.96 (2)	85.32 (4)			
5	3029	Dmytro Kosynskiy	UKR	83.23 (8)	83.95 (5)			
6	2407	Antti Ruuskanen	FIN	82.20 (11)	83.05 (6)			
7	2310	Vítězslav Veselý	CZE	82.85 (10)	82.51 (7)			
8	2309	Jakub Vadlejch	CZE	83.27 (7)	82.42 (8)			
9	2522	Julian Weber	GER	84.46 (3)	81.36 (9)			
10	2027	Braian Toledo	ARG	81.96 (12)	79.81 (10)			
11	2635	Ryohei Arai	JPN	84.16 (4)	79.47 (11)			
12	2299	Petr Frydrych	CZE	83.60 (5)	79.12 (12)
