Pos	Competitor(s)	NOC	Distance	SBMD			
1	Andreas Thorkildsen	NOR	86.50	–			
2	Vadims Vasiļevskis	LAT	84.95	–			
3	Sergey Makarov	RUS	84.84	–			
4	Steve Backley	GBR	84.13	–			
5	Aleksandr Ivanov	RUS	83.31	–			
6	Andrus Värnik	EST	83.25	–			
7	Ēriks Rags	LAT	83.14	–			
8	Tero Pitkämäki	FIN	83.01	–			
9	Jan Železný	CZE	80.59	–			
10	Matti Närhi	FIN	80.28	–			
11	Esko Mikkola	FIN	79.43	–			
12	Breaux Greer	USA	74.36	–			
