Pos	Nr	Athlete	NOC	R1	SF	Final			
1	361	Shaunae Miller	BAH	51.16 (1 h5)	49.91 (2 h3)	49.44 (1)	Gold		
2	1339	Allyson Felix	USA	51.24 (1 h2)	49.67 (1 h3)	49.51 (2)	Silver		
3	890	Shericka Jackson	JAM	51.73 (1 h7)	49.83 (1 h2)	49.85 (3)	Bronze		
4	1347	Natasha Hastings	USA	51.31 (1 h4)	49.90 (2 h2)	50.34 (4)			
5	1341	Phyllis Francis	USA	50.58 (1 h3)	50.31 (1 h1)	50.41 (5)			
6	895	Stephenie McPherson	JAM	51.36 (1 h1)	50.69 (2 h1)	50.97 (6)			
7	863	Libania Grenot	ITA	51.17 (2 h6)	50.60 (3 h3)	51.25 (7)			
3 h1 r2/3	443	Kemi Adekoya	BRN	50.72 (2 h3)	50.88 (3 h1)	–			
3 h2 r2/3	453	Salwa Eid Naser	BRN	51.06 (1 h6)	50.88 (3 h2)	–			
4 h1 r2/3	714	Christine Ohuruogu	GBR	51.40 (2 h4)	51.22 (4 h1)	–			
4 h2 r2/3	678	Floria Gueï	FRA	51.29 (3 h6)	51.08 (4 h2)	–			
4 h3 r2/3	884	Christine Day	JAM	51.54 (1 h8)	51.53 (4 h3)	–			
5 h1 r2/3	780	Ruth Spelmeyer	GER	51.43 (3 h5)	51.61 (5 h1)	–			
5 h2 r2/3	484	Carline Muir	CAN	51.57 (2 h8)	51.11 (5 h2)	–			
5 h3 r2/3	1116	Justyna Święty	POL	51.82 (3 h7)	51.62 (5 h3)	–			
6 h1 r2/3	1053	Margaret Bamgbose	NGR	51.43 (3 h3)	51.92 (6 h1)	–			
6 h2 r2/3	699	Emily Diamond	GBR	51.76 (4 h5)	51.49 (6 h2)	–			
6 h3 r2/3	337	Annie Rubie	AUS	51.92 (3 h1)	51.96 (6 h3)	–			
7 h1 r2/3	1121	Patrycja Wyciszkiewicz	POL	52.02 (4 h3)	52.51 (7 h1)	–			
7 h2 r2/3	1100	Małgorzata Hołub	POL	51.8 (3 h8)	51.93 (7 h2)	–			
7 h3 r2/3	1404	Kabange Mupopo	ZAM	51.76 (2 h7)	52.04 (7 h3)	–			
8 h2 r2/3	332	Morgan Mitchell	AUS	51.30 (2 h5)	52.68 (8 h2)	–			
8 h3 r2/3	1056	Patience Okon George	NGR	51.83 (2 h1)	52.52 (8 h3)	–
AC	929	Anastasiya Kudinova	KAZ	56.03 (AC h8)	–	–		DQ
AC	1315	Olha Zemliak	UKR	51.40 (AC h2)	50.75 (AC h1)	51.24 (AC)		DQ
AC	1298	Yuliya Olishevska	UKR	52.45 (AC h1)	–	–		DQ
AC	834	Nirmala Sheoran	IND	53.03 (AC h1)	–	–		DQ
