Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2910	Wayde van Niekerk	RSA	45.26 (1 h3)	44.45 (2 h2)	43.03 (1)	Gold		
2	2539	Kirani James	GRN	44.93 (1 h6)	44.02 (1 h1)	43.76 (2)	Silver		
3	3090	LaShawn Merritt	USA	45.28 (1 h5)	44.21 (2 h1)	43.85 (3)	Bronze		
4	2977	Machel Cedenio	TTO	44.98 (1 h1)	44.39 (1 h2)	44.01 (4)			
5	2125	Karabo Sibanda	BOT	45.56 (3 h2)	44.47 (3 h1)	44.25 (5)			
6	2171	Ali Khamis	BRN	45.12 (1 h7)	44.49 (3 h3)	44.36 (6)			
7	2540	Bralon Taplin	GRN	45.15 (1 h2)	44.44 (1 h3)	44.45 (7)			
8	2461	Matt Hudson-Smith	GBR	45.26 (3 h6)	44.48 (2 h3)	44.61 (8)			
3 h2 r2/3	2304	Pavel Maslák	CZE	45.54 (5 h7)	45.06 (3 h2)	–			
4 h1 r2/3	2327	Luguelín Santos	DOM	45.61 (2 h3)	44.71 (4 h1)	–			
4 h2 r2/3	2929	Luka Janežič	SLO	45.33 (2 h4)	45.07 (4 h2)	–			
4 h3 r2/3	3093	Gil Roberts	USA	45.27 (2 h1)	44.65 (4 h3)	–			
5 h1 r2/3	2620	Javon Francis	JAM	45.88 (3 h3)	44.96 (5 h1)	–			
5 h2 r2/3	3102	David Verburg	USA	45.48 (4 h6)	45.61 (5 h2)	–			
5 h3 r2/3	2065	Steven Gardiner	BAH	45.24 (2 h7)	44.72 (5 h3)	–			
6 h1 r2/3	2262	Nery Brenes	CRC	45.53 (2 h2)	45.02 (6 h1)	–			
6 h2 r2/3	2623	Rusheen McDonald	JAM	45.22 (2 h6)	46.12 (6 h2)	–			
6 h3 r2/3	2275	Yoandys Lescay	CUB	45.36 (3 h1)	45.00 (6 h3)	–			
7 h1 r2/3	2780	Liemarvin Bonevacia	NED	45.49 (3 h7)	45.03 (7 h1)	–			
7 h2 r2/3	2880	Abdalelah Haroun	QAT	45.76 (2 h5)	46.66 (7 h2)	–			
7 h3 r2/3	2849	Rafał Omelko	POL	45.54 (4 h7)	45.28 (7 h3)	–			
8 h1 r2/3	2980	Lalonde Gordon	TTO	45.24 (1 h4)	45.13 (8 h1)	–			
8 h3 r2/3	2121	Isaac Makwala	BOT	45.91 (3 h5)	46.60 (8 h3)	–			
DNS r2/3	2126	Baboloki Thebe	BOT	45.41 (3 h4)	– (DNS h2)	–
