Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3205	LaShawn Merritt	USA	44.96 (1 h5)	44.12 (1 h3)	43.75 (1)	Gold		
2	3253	Jeremy Wariner	USA	45.23 (1 h7)	44.15 (1 h1)	44.74 (2)	Silver		
3	3209	David Neville	USA	45.22 (2 h1)	44.91 (2 h2)	44.80 (3)	Bronze		
4	1095	Chris Brown	BAH	44.79 (1 h2)	44.59 (2 h1)	44.84 (4)			
5	1733	Leslie Djhone	FRA	45.12 (1 h1)	44.79 (1 h2)	45.11 (5)			
6	1830	Martyn Rooney	GBR	45.00 (1 h4)	44.60 (2 h3)	45.12 (6)			
7	3023	Renny Quow	TTO	45.13 (2 h6)	44.82 (4 h3)	45.22 (7)			
8	2955	Johan Wissman	SWE	44.81 (3 h2)	44.64 (3 h3)	45.39 (8)			
3 h1 r2/3	1124	Kévin Borlée	BEL	45.43 (4 h1)	44.88 (3 h1)	–			
3 h2 r2/3	1049	Joel Milburn	AUS	44.80 (2 h2)	45.06 (3 h2)	–			
4 h1 r2/3	1436	Nery Brenes	CRC	45.36 (1 h3)	44.94 (4 h1)	–			
4 h2 r2/3	2166	Ricardo Chambers	JAM	45.22 (3 h4)	45.09 (4 h2)	–			
5 h1 r2/3	2504	Saul Weigopwa	NGR	45.19 (2 h5)	45.02 (5 h1)	–			
5 h2 r2/3	1123	Jonathan Borlée	BEL	45.25 (4 h5)	45.11 (5 h2)	–			
5 h3 r2/3	1412	Gary Kikaya	COD	44.89 (4 h2)	44.94 (5 h3)	–			
6 h1 r2/3	1486	Williams Collazo	CUB	45.37 (3 h1)	45.06 (6 h1)	–			
6 h2 r2/3	2505	Godday James	NGR	45.49 (2 h3)	45.24 (6 h2)	–			
6 h3 r2/3	1096	Michael Mathieu	BAH	45.17 (3 h6)	45.56 (6 h3)	–			
7 h1 r2/3	2065	Tabarie Henry	ISV	45.36 (2 h7)	45.19 (7 h1)	–			
7 h2 r2/3	1098	Andretti Bain	BAH	45.96 (3 h3)	45.52 (7 h2)	–			
7 h3 r2/3	1059	Sean Wroe	AUS	45.17 (2 h4)	45.56 (7 h3)	–			
8 h1 r2/3	2097	Claudio Licciardello	ITA	45.25 (3 h5)	45.64 (8 h1)	–			
8 h2 r2/3	1838	Andrew Steele	GBR	44.94 (1 h6)	45.59 (8 h2)	–			
8 h3 r2/3	1134	Cédric Van Branteghem	BEL	45.54 (3 h7)	45.81 (8 h3)	–
