Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3316	Adam Nelson	USA	21.15 (1)	21.16 (1)	Gold		
2	1531	Joachim Olsen	DEN	20.78 (2)	21.07 (2)	Silver		
3	1602	Manuel Martínez	ESP	20.37 (6)	20.84 (3)	Bronze		
4	1184	Andrey Mikhnevich	BLR	20.11 (8)	20.60 (4)			
5	1170	Yury Belov	BLR	20.06 (10)	20.34 (5)			
6	1051	Justin Anlezark	AUS	20.45 (5)	20.31 (6)			
7	1859	Ralf Bartels	GER	20.65 (3)	20.26 (7)			
8	3267	John Godina	USA	20.53 (4)	20.19 (8)			
9	3061	Mikuláš Konopka	SVK	20.32 (7)	19.92 (9)			
10	3022	Miran Vodovnik	SLO	20.04 (11)	19.34 (10)			
11	1517	Petr Stehlík	CZE	20.06 (9)	19.21 (11)	
AC	3166	Yuriy Bilonoh	UKR	20.61 (AC)	21.16 (AC)		DQ
