Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2613	Valerie Adams	NZL	20.40 (1)	20.70 (1)	Gold		
2	1374	Gong Lijiao	CHN	19.11 (3)	20.22 (2)	Silver		
3	1377	Li Ling	CHN	19.23 (2)	19.63 (3)	Bronze		
4	3276	Michelle Carter	USA	18.63 (6)	19.42 (4)			
5	1383	Liu Xiangrong	CHN	18.96 (4)	19.18 (5)			
6	1233	Geisa Arcanjo	BRA	18.47 (9)	19.02 (6)			
7	2898	Irina Tarasova	RUS	18.76 (5)	19.00 (7)			
8	1337	Natalia Ducó	CHI	18.45 (10)	18.80 (8)			
9	1964	Christina Schwanitz	GER	18.62 (7)	18.47 (9)			
10	1190	Nataliya Mikhnevich	BLR	18.60 (8)	18.42 (10)
AC	1193	Nadezhda Ostapchuk	BLR	20.76 (AC)	21.36 (AC)		DQ
AC	2870	Yevgeniya Kolodko	RUS	19.31 (AC)	20.48 (AC)		DQ
