Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2545	Valerie Vili	NZL	19.73 (1)	20.56 (1)	Gold		
2	1467	Misleydis González	CUB	18.91 (5)	19.50 (2)	Silver		
3	1340	Gong Lijiao	CHN	19.46 (2)	19.20 (3)	Bronze		
4	2838	Anna Omarova	RUS	18.74 (6)	19.08 (4)			
5	1907	Nadine Kleinert	GER	18.52 (9)	19.01 (5)			
6	1341	Li Meiju	CHN	19.18 (3)	19.00 (6)			
7	2819	Olga Ivanova	RUS	18.46 (13)	18.44 (7)			
8	1456	Mailín Vargas	CUB	18.47 (12)	18.28 (8)			
9	1901	Christina Schwanitz	GER	19.09 (4)	18.27 (9)			
10	3144	Jill Camarena	USA	18.51 (10)	18.24 (10)			
11	2080	Chiara Rosa	ITA	18.74 (7)	18.22 (11)			
12	1347	Li Ling	CHN	18.60 (8)	17.94 (12)			
13	3273	Michelle Carter	USA	18.49 (11)	17.74 (13)
AC	1176	Nataliya Mikhnevich	BLR	19.11 (AC)	20.28 (AC)		DQ
AC	1168	Nadezhda Ostapchuk	BLR	19.08 (AC)	19.86 (AC)		DQ
