Pos	Nr	Athlete	NOC	Qualifying	Final			
1	3062	Ryan Crouser	USA	21.59 (1)	22.52 (1)	Gold		
2	3083	Joe Kovacs	USA	20.73 (5)	21.78 (2)	Silver		
3	2813	Tom Walsh	NZL	21.03 (2)	21.36 (3)	Bronze		
4	2216	Franck Elemba	CGO	20.45 (11)	21.20 (4)			
5	2151	Darlan Romani	BRA	20.94 (3)	21.02 (5)			
6	2846	Tomasz Majewski	POL	20.56 (7)	20.72 (6)			
7	2518	David Storl	GER	20.47 (10)	20.64 (7)			
8	2628	O'Dayne Richards	JAM	20.40 (12)	20.64 (8)			
9	2810	Jacko Gill	NZL	20.80 (4)	20.50 (9)			
10	2032	Damien Birkinhead	AUS	20.50 (9)	20.45 (10)			
11	2266	Stipe Žunić	CRO	20.52 (8)	20.04 (11)		
