id,name,sex,age,height,weight,team,noc,year,season,city,sport,event_x,medal,event_y,substance,flagged,result,result_100m_mens_london,result_100m_womens_rio,result_100m_womens_london,result_200m_mens_rio,result_200m_mens_london,result_200m_womens_rio,result_200m_womens_london,result_110h_mens_rio,result_110h_mens_london,result_100h_womens_rio,result_100h_womens_london,result_3000steep_mens_rio,result_3000steep_mens_london,result_3000steep_womens_rio,result_3000steep_womens_london,result_marathon_mens_rio,result_marathon_mens_london,result_marathon_womens_rio,result_marathon_womens_london,result_20km_mens_rio,result_20km_mens_london,result_20km_womens_rio,result_20km_womens_london,result_400m_mens_rio,result_400m_mens_london,result_400m_womens_rio,result_400m_womens_london,result_5000m_mens_rio,result_5000m_mens_london,result_5000m_womens_rio,result_5000m_womens_london,result_800m_mens_rio,result_800m_mens_london,result_800m_womens_rio,result_800m_womens_london,result_discus_mens_rio,result_discus_mens_london,result_discus_womens_rio,result_discus_womens_london
556,arnaldo abrantes,M,25.0,183.0,72.0,Portugal,POR,2012,Summer,London,Athletics,Athletics Men's 200 metres,,,,,,,,,,20.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,rika surez,F,34.0,164.0,52.0,Colombia,COL,2012,Summer,London,Athletics,Athletics Women's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,rika surez,F,38.0,164.0,52.0,Colombia,COL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,ayele biza,M,21.0,168.0,62.0,Ethiopia,ETH,2012,Summer,London,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,methkal drais,M,28.0,168.0,67.0,Jordan,JOR,2012,Summer,London,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,2:46:18,2:21:00,,,,,,,,,,,,,,,,,,,,,,
593,methkal drais,M,32.0,168.0,67.0,Jordan,JOR,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,2:46:18,2:21:00,,,,,,,,,,,,,,,,,,,,,,
611,mohammed abukhousa,M,23.0,170.0,67.0,Palestine,PLE,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,kariman abuljadayel,F,22.0,180.0,70.0,Saudi Arabia,KSA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,raidel morales,M,21.0,,,Cuba,CUB,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,gemma acheampong,F,23.0,163.0,54.0,Ghana,GHA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
