Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2259	Pamela Jelimo	KEN	2:03.18 (1 h3)	1:57.31 (1 h2)	1:54.87 (1)	Gold		
2	2267	Janeth Jepkosgei	KEN	1:59.72 (1 h6)	1:57.28 (1 h3)	1:56.07 (2)	Silver		
3	2383	Hasna Benhassi	MAR	2:00.51 (2 h5)	1:58.03 (2 h2)	1:56.73 (3)	Bronze		
4	2827	Svetlana Klyuka	RUS	2:01.67 (1 h1)	1:58.31 (1 h1)	1:56.94 (4)			
5	2470	Maria Mutola	MOZ	1:58.91 (1 h4)	1:58.61 (2 h1)	1:57.68 (5)			
6	2177	Kenia Sinclair	JAM	2:03.76 (2 h3)	1:58.28 (4 h3)	1:58.24 (6)			
7	3117	Yuliya Krevsun	UKR	2:00.21 (1 h2)	1:57.32 (2 h3)	1:58.73 (7)			
8	2825	Tatyana Andrianova	RUS	2:00.31 (2 h2)	1:58.16 (3 h3)	2:02.63 (8)			
3 h1 r2/3	2937	Lucia Klocová	SVK	1:59.42 (3 h4)	1:58.80 (3 h1)	–			
3 h2 r2/3	2840	Yekaterina Kostetskaya	RUS	2:00.54 (3 h5)	1:58.33 (3 h2)	–			
4 h1 r2/3	3097	Tetiana Petliuk	UKR	2:00.00 (2 h6)	1:59.27 (4 h1)	–			
4 h2 r2/3	1474	Zulia Calatayud	CUB	2:00.34 (1 h5)	1:58.78 (4 h2)	–			
5 h1 r2/3	1418	Rosibel García	COL	2:01.98 (2 h1)	1:59.38 (5 h1)	–			
5 h2 r2/3	2635	Anna Rostkowska	POL	2:02.11 (3 h1)	1:58.84 (5 h2)	–			
5 h3 r2/3	2072	Elisa Cusma	ITA	2:00.24 (5 h6)	1:59.52 (5 h3)	–			
6 h1 r2/3	1820	Marilyn Okoro	GBR	1:59.01 (2 h4)	1:59.53 (6 h1)	–			
6 h2 r2/3	1816	Jenny Meadows	GBR	2:00.33 (3 h2)	1:59.43 (6 h2)	–			
6 h3 r2/3	2426	Olga Cristea	MDA	2:00.59 (4 h5)	2:00.12 (6 h3)	–			
7 h1 r2/3	2879	Brigita Langerholc	SLO	2:00.13 (3 h6)	2:00.00 (7 h1)	–			
7 h2 r2/3	2379	Eglė Balčiūnaitė	LTU	2:00.15 (4 h6)	2:02.59 (7 h2)	–			
7 h3 r2/3	1970	Neisha Bernard-Thomas	GRN	2:00.09 (5 h4)	2:01.84 (7 h3)	–			
8 h1 r2/3	1076	Tamsyn Lewis	AUS	1:59.67 (4 h4)	2:01.41 (8 h1)	–
AC	3132	Vanja Perišić	CRO	2:06.82 (AC h3)	–	–		DQ
AC	1146	Svetlana Usovich	BLR	2:00.42 (AC h2)	2:02.79 (AC h2)	–		DQ
