Pos	Nr	Athlete	NOC	R1	SF	Final			
1	1809	Kelly Holmes	GBR	2:00.81 (1 h3)	1:57.98 (1 h1)	1:56.38 (1)	Gold		
2	2462	Hasna Benhassi	MAR	2:01.20 (1 h1)	1:58.59 (1 h2)	1:56.43 (2)	Silver		
3	3010	Jolanda Čeplak	SLO	2:00.61 (1 h5)	1:58.80 (2 h2)	1:56.43 (3)	Bronze		
4	2548	Maria Mutola	MOZ	2:01.50 (2 h1)	1:59.30 (1 h3)	1:56.51 (4)			
5	2849	Tatyana Andrianova	RUS	2:03.77 (1 h6)	1:58.41 (2 h1)	1:56.88 (5)			
6	3308	Jearl Miles-Clark	USA	2:01.33 (2 h3)	1:58.71 (3 h1)	1:57.27 (6)			
7	2780	Maria Cioncan	ROU	1:59.64 (1 h2)	1:59.44 (2 h3)	1:59.62 (7)			
8	1444	Zulia Calatayud	CUB	2:03.99 (3 h6)	1:59.21 (4 h1)	2:00.95 (8)			
3 h2 r2/3	3188	Tetiana Petliuk	UKR	2:02.07 (3 h1)	1:59.48 (3 h2)	–			
3 h3 r2/3	2867	Svetlana Cherkasova	RUS	2:03.60 (1 h4)	1:59.80 (3 h3)	–			
4 h2 r2/3	3350	Nicole Teter	USA	2:01.16 (3 h5)	1:59.50 (4 h2)	–			
4 h3 r2/3	1309	Diane Cummins	CAN	2:01.19 (5 h2)	2:00.30 (4 h3)	–			
5 h1 r2/3	2556	Agnes Samaria	NAM	2:00.05 (2 h2)	1:59.37 (5 h1)	–			
5 h2 r2/3	2890	Nataliya Khrushchelyeva	RUS	2:00.56 (4 h2)	2:00.68 (5 h2)	–			
5 h3 r2/3	1804	Jo Fenn	GBR	2:03.72 (3 h4)	2:00.60 (5 h3)	–			
6 h1 r2/3	1742	Élisabeth Grousselle	FRA	2:00.31 (3 h2)	2:00.21 (6 h1)	–			
6 h2 r2/3	3060	Lucia Klocová	SVK	2:02.17 (5 h5)	2:00.79 (6 h2)	–			
6 h3 r2/3	2458	Seltana Aït Hammou	MAR	2:03.95 (2 h6)	2:00.64 (6 h3)	–			
7 h1 r2/3	2457	Mina Aït Hammou	MAR	2:03.70 (2 h4)	2:00.66 (7 h1)	–			
7 h2 r2/3	2050	Marian Burnett	GUY	2:02.12 (4 h1)	2:02.21 (7 h2)	–			
7 h3 r2/3	1253	Luciana Mendes	BRA	2:01.36 (4 h5)	2:02.00 (7 h3)	–			
8 h1 r2/3	2214	Michelle Ballentine	JAM	2:01.52 (3 h3)	2:00.94 (8 h1)	–			
8 h2 r2/3	1603	Mayte Martínez	ESP	2:00.81 (2 h5)	2:03.30 (8 h2)	–			
8 h3 r2/3	3055	Letitia Vriesde	SUR	2:01.70 (4 h3)	2:06.95 (8 h3)	–
