Pos	Nr	Athlete	NOC	Qualifying	Final			
1	805	Ekaterini Stefanidi	GRE	4.60 (1)	4.85 (1)	Gold		
2	1360	Sandi Morris	USA	4.55 (=8)	4.85 (2)	Silver		
3	1076	Eliza McCartney	NZL	4.60 (=5)	4.80 (3)	Bronze		
4	319	Alana Boyd	AUS	4.55 (=8)	4.80 (4)			
5	697	Holly Bradshaw	GBR	4.60 (=2)	4.70 (5)			
6	1203	Nicole Büchler	SUI	4.55 (=8)	4.70 (6)			
=7	1375	Jenn Suhr	USA	4.60 (=2)	4.60 (=7)			
=7	584	Yarisley Silva	CUB	4.60 (=5)	4.60 (=7)			
9	782	Martina Strutz	GER	4.60 (7)	4.60 (9)			
10	776	Lisa Ryzih	GER	4.60 (=2)	4.50 (10)			
11	1187	Tina Šutej	SLO	4.55 (=8)	4.50 (11)			
12	465	Kelsie Ahbe	CAN	4.55 (=8)	4.50 (12)
