Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Steve Hooker	AUS	5.96	2	8	OR		
2	Yevgeny Lukyanenko	RUS	5.85	2	4			
3	Derek Miles	USA	5.70	1	3			
4	Dmitry Starodubtsev	RUS	5.70	1	5			
5	Danny Ecker	GER	5.70	2	3			
6	Jérôme Clavier	FRA	5.60	0	1			
7	Raphael Holzdeppe	GER	5.60	1	1			
8	Igor Pavlov	RUS	5.60	2	2			
9	Jan Kudlička	CZE	5.45	0	0			
10	Przemysław Czerwiński	POL	5.45	1	1			
AC	Giuseppe Gibilisco	ITA	NH	0	0	NH		
AC	Leonid Andreyev	UZB	NH	0	0	NH		
AC	Denys Yurchenko	UKR	5.70	0	3	DQ		4
