Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2132	Thiago Braz	BRA	5.70 (3)	6.03 (1)	Gold		
2	2426	Renaud Lavillenie	FRA	5.70 (=4)	5.98 (2)	Silver		
3	3080	Sam Kendricks	USA	5.70 (1)	5.85 (3)	Bronze		
=4	2845	Piotr Lisek	POL	5.70 (6)	5.75 (=4)			
=4	2303	Jan Kudlička	CZE	5.70 (=7)	5.75 (=4)			
6	2236	Xue Changrui	CHN	5.70 (=4)	5.65 (6)			
=7	2657	Daichi Sawano	JPN	5.60 (=10)	5.50 (=7)			
=7	2298	Michal Balner	CZE	5.60 (=10)	5.50 (=7)			
=7	2532	Kostas Filippidis	GRE	5.70 (2)	5.50 (=7)			
10	2190	Shawn Barber	CAN	5.70 (=7)	5.50 (10)			
11	2023	Germán Chiaraviglio	ARG	5.70 (=7)	5.50 (11)
