Pos	Competitor(s)	NOC	BHC	MBHC	TMBHC			
1	Yelena Isinbayeva	RUS	5.05	2	4	WR		
2	Jenn Stuczynski	USA	4.80	0	1			
3	Svetlana Feofanova	RUS	4.75	0	1			
4	Yuliya Golubchikova	RUS	4.75	1	2			
5	Monika Pyrek	POL	4.70	1	1			
6	Carolin Hingst	GER	4.65	2	2			
7	Silke Spiegelburg	GER	4.65	2	3			
8	April Steiner-Bennett	USA	4.55	0	0			
9	Vanessa Boslak	FRA	4.55	1	1			
=10	Anna Rogowska	POL	4.45	0	0			
=10	Fabiana Murer	BRA	4.45	0	0			
12	Gao Shuying	CHN	4.45	2	2
