Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	3246	Shawn Crawford	USA	20.55 (1 h2)	19.95 (1 h1)	20.05 (1 h1)	19.79 (1)	Gold		
2	3362	Bernard Williams, III	USA	20.29 (1 h6)	20.40 (1 h2)	20.18 (2 h1)	20.01 (2)	Silver		
3	3263	Justin Gatlin	USA	20.51 (2 h7)	20.03 (1 h3)	20.35 (1 h2)	20.03 (3)	Bronze		
4	2555	Frankie Fredericks	NAM	20.54 (1 h3)	20.20 (2 h1)	20.43 (3 h1)	20.14 (4)			
5	2739	Francis Obikwelu	POR	20.40 (=2 h1)	20.33 (1 h4)	20.36 (2 h2)	20.14 (5)			
6	2549	Stéphane Buckland	MRI	20.29 (1 h1)	20.36 (2 h4)	20.37 (3 h2)	20.24 (6)			
7	1941	Tobias Unger	GER	20.65 (2 h4)	20.30 (3 h1)	20.54 (4 h1)	20.64 (7)			
4 h2 r3/4	2241	Asafa Powell	JAM	20.77 (4 h5)	20.23 (2 h3)	20.56 (4 h2)	– (DNS)			
5 h1 r3/4	1978	Tasos Gousis	GRE	20.44 (2 h6)	20.46 (2 h2)	20.68 (5 h1)	–			
5 h2 r3/4	1874	Sebastian Ernst	GER	20.47 (1 h7)	20.36 (3 h3)	20.63 (5 h2)	–			
6 h1 r3/4	2255	Chris Williams	JAM	20.57 (2 h2)	20.34 (4 h1)	20.80 (6 h1)	–			
6 h2 r3/4	2533	Juan Pedro Toledo	MEX	20.40 (=2 h1)	20.43 (3 h4)	20.64 (6 h2)	–			
7 h1 r3/4	2673	Marcin Jędrusiński	POL	20.63 (1 h4)	20.55 (3 h2)	20.81 (7 h1)	–			
7 h2 r3/4	1818	Christian Malcolm	GBR	20.62 (2 h5)	20.56 (5 h3)	20.77 (7 h2)	–			
8 h1 r3/4	1795	Darren Campbell	GBR	20.72 (4 h2)	20.59 (4 h4)	20.89 (8 h1)	–			
8 h2 r3/4	3015	Matic Osovnikar	SLO	20.57 (4 h6)	20.47 (4 h3)	20.89 (8 h2)	–			
4 h2 r2/4	1889	Till Helmke	GER	20.73 (5 h6)	20.76 (4 h2)	–	–			
5 h1 r2/4	3083	Johan Wissman	SWE	20.60 (5 h1)	20.74 (5 h1)	–	–			
5 h2 r2/4	3406	Brian Dzingai	ZIM	20.72 (4 h3)	20.87 (5 h2)	–	–			
5 h4 r2/4	1260	Cláudio Sousa	BRA	20.70 (4 h7)	20.64 (5 h4)	–	–			
6 h1 r2/4	2086	Géza Pauer	HUN	21.02 (4 h4)	20.90 (6 h1)	–	–			
6 h2 r2/4	2203	Marco Torrieri	ITA	20.68 (3 h7)	20.89 (6 h2)	–	–			
6 h3 r2/4	1121	Dominic Demeritte	BAH	20.62 (1 h5)	20.61 (6 h3)	–	–			
6 h4 r2/4	1787	Jaysuma Saidy Ndure	GAM	20.78 (5 h2)	20.73 (6 h4)	–	–			
7 h1 r2/4	1566	David Canal	ESP	20.72 (3 h3)	21.18 (7 h1)	–	–			
7 h2 r2/4	1018	Malik Louahla	ALG	20.67 (2 h3)	20.93 (7 h2)	–	–			
7 h3 r2/4	1034	Brendan Christian	ANT	20.71 (5 h7)	20.63 (7 h3)	–	–			
7 h4 r2/4	2012	Panagiotis Sarris	GRE	20.67 (3 h5)	20.92 (7 h4)	–	–			
8 h2 r2/4	1380	Yang Yaozu	CHN	20.59 (4 h1)	21.03 (8 h2)	–	–			
8 h4 r2/4	2184	Andrew Howe	ITA	20.55 (3 h6)	21.17 (8 h4)	–	–			
AC h3 r2/4	2707	Marcin Urbaś	POL	20.71 (3 h2)	– (AC h3)	–	–
