Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	2163	Usain Bolt	JAM	20.64 (2 h5)	20.29 (1 h1)	20.09 (1 h2)	19.30 (1)	Gold		
2	3152	Shawn Crawford	USA	20.61 (1 h1)	20.42 (2 h1)	20.12 (2 h2)	19.96 (2)	Silver		
3	3282	Walter Dix	USA	20.77 (2 h4)	20.27 (2 h2)	20.19 (3 h1)	19.98 (3)	Bronze		
4	3317	Brian Dzingai	ZIM	20.25 (1 h2)	20.23 (1 h2)	20.17 (2 h1)	20.22 (4)			
5	1813	Christian Malcolm	GBR	20.42 (2 h2)	20.30 (4 h2)	20.25 (4 h1)	20.40 (5)			
6	2868	Kim Collins	SKN	20.55 (2 h3)	20.43 (3 h1)	20.25 (4 h2)	20.59 (6)			
AC r4/4	1003	Churandy Martina	AHO	20.78 (3 h7)	20.42 (2 h3)	20.11 (1 h1)	19.82 (AC)			
AC r4/4	3236	Wallace Spearmon	USA	20.46 (1 h6)	20.39 (2 h4)	20.14 (3 h2)	19.95 (AC)			
5 h1 r3/4	2045	Paul Hession	IRL	20.59 (3 h6)	20.32 (1 h4)	20.38 (5 h1)	–			
5 h2 r3/4	1025	Brendan Christian	ANT	20.58 (2 h8)	20.26 (1 h3)	20.29 (5 h2)	–			
6 h1 r3/4	2156	Chris Williams	JAM	20.53 (3 h2)	20.28 (3 h2)	20.45 (6 h1)	–			
6 h2 r3/4	2472	Stéphane Buckland	MRI	20.98 (3 h1)	20.37 (5 h2)	20.48 (6 h2)	–			
7 h1 r3/4	1300	Jared Connaughton	CAN	20.60 (3 h8)	20.45 (5 h1)	20.58 (7 h1)	–			
7 h2 r3/4	1797	Marlon Devonish	GBR	20.49 (1 h3)	20.43 (4 h1)	20.57 (7 h2)	–			
8 h1 r3/4	1112	Kristof Beyens	BEL	20.69 (3 h5)	20.50 (3 h3)	20.69 (8 h1)	–			
DNS h2 r3/4	2537	Jaysuma Saidy Ndure	NOR	20.54 (2 h6)	20.45 (3 h4)	– (DNS h2)	–			
4 h3 r2/4	2588	Marcin Jędrusiński	POL	20.64 (2 h1)	20.58 (4 h3)	–	–			
4 h4 r2/4	3024	Rondel Sorrillo	TTO	20.58 (1 h5)	20.63 (4 h4)	–	–			
5 h3 r2/4	3016	Aaron Armstrong	TTO	20.57 (1 h8)	20.58 (5 h3)	–	–			
5 h4 r2/4	1086	Ramil Quliyev	AZE	20.78 (2 h7)	20.66 (5 h4)	–	–			
6 h1 r2/4	1564	Amru Seoud	EGY	20.75 (5 h2)	20.55 (6 h1)	–	–			
6 h2 r2/4	2769	Roman Smirnov	RUS	20.76 (1 h4)	20.62 (6 h2)	–	–			
6 h3 r2/4	2503	Obinna Metu	NGR	20.62 (1 h7)	20.65 (6 h3)	–	–			
6 h4 r2/4	1694	Visa Hongisto	FIN	20.62 (4 h8)	20.76 (6 h4)	–	–			
7 h1 r2/4	1991	Rolando Palacios	HON	20.81 (3 h4)	20.87 (7 h1)	–	–			
7 h2 r2/4	2186	Shinji Takahira	JPN	20.58 (4 h2)	20.63 (7 h2)	–	–			
7 h3 r2/4	1237	Sandro Viana	BRA	20.84 (4 h7)	21.07 (7 h3)	–	–			
7 h4 r2/4	2741	Thuso Mpuang	RSA	20.87 (6 h2)	21.04 (7 h4)	–	–			
8 h1 r2/4	1578	Ángel David Rodríguez	ESP	20.87 (4 h4)	20.96 (8 h1)	–	–			
8 h2 r2/4	2880	Matic Osovnikar	SLO	20.89 (4 h3)	20.95 (8 h2)	–	–			
8 h3 r2/4	2927	Marc Schneeberger	SUI	20.86 (4 h5)	21.48 (8 h3)	–	–			
AC h4 r2/4	2140	Marvin Anderson	JAM	20.85 (3 h3)	– (AC h4)	–	–
