Pos	Nr	Athlete	NOC	R1	SF	Final			
1	3287	Allyson Felix	USA	22.71 (1 h2)	22.31 (1 h2)	21.88 (1)	Gold		
2	2197	Shelly-Ann Fraser-Pryce	JAM	22.71 (1 h6)	22.34 (2 h3)	22.09 (2)	Silver		
3	3299	Carmelita Jeter	USA	22.65 (1 h3)	22.39 (2 h1)	22.14 (3)	Bronze		
4	2194	Veronica Campbell-Brown	JAM	22.75 (3 h5)	22.32 (1 h1)	22.38 (4)			
5	3313	Sanya Richards-Ross	USA	22.48 (1 h4)	22.30 (1 h3)	22.39 (5)			
6	1402	Murielle Ahouré	CIV	22.55 (1 h1)	22.49 (2 h2)	22.57 (6)			
7	1791	Myriam Soumaré	FRA	22.70 (2 h5)	22.56 (3 h1)	22.63 (7)			
3 h2 r2/3	2125	LaVerne Jones	ISV	22.64 (2 h4)	22.62 (3 h2)	–			
3 h3 r2/3	2854	Aleksandra Fedoriva	RUS	22.61 (2 h1)	22.65 (3 h3)	–			
4 h1 r2/3	3185	Mariya Riemien	UKR	22.58 (1 h5)	22.62 (4 h1)	–			
4 h2 r2/3	3154	Yelyzaveta Bryzhina	UKR	22.82 (3 h6)	22.64 (4 h2)	–			
4 h3 r2/3	3193	Khrystyna Stuy	UKR	22.66 (3 h4)	22.76 (4 h3)	–			
5 h1 r2/3	1120	Anthonique Strachan	BAH	22.75 (2 h6)	22.82 (5 h1)	–			
5 h2 r2/3	2203	Sherone Simpson	JAM	22.97 (3 h3)	22.71 (5 h2)	–			
5 h3 r2/3	3061	Kai Selvon	TTO	22.85 (4 h4)	23.04 (5 h3)	–			
6 h1 r2/3	1268	Ivet Lalova	BUL	23.01 (5 h4)	22.98 (6 h1)	–			
6 h2 r2/3	1241	Evelyn dos Santos	BRA	23.07 (4 h6)	22.82 (6 h2)	–			
6 h3 r2/3	1869	Abi Oyepitan	GBR	22.92 (2 h3)	23.14 (6 h3)	–			
7 h1 r2/3	1846	Margaret Adeoye	GBR	22.94 (3 h1)	23.28 (7 h1)	–			
7 h2 r2/3	1513	Eleni Artymata	CYP	23.09 (6 h4)	22.92 (7 h2)	–			
7 h3 r2/3	1307	Crystal Emmanuel	CAN	23.10 (5 h6)	23.28 (7 h3)	–			
8 h1 r2/3	2126	Allison Peter	ISV	23.00 (4 h1)	23.35 (8 h1)	–			
8 h3 r2/3	2010	Janelle Redhead	GRN	23.08 (2 h2)	23.51 (8 h3)	–
AC	3058	Semoy Hackett	TTO	22.81 (AC h2)	22.55 (AC h2)	22.87 (AC)		DQ
