Pos	Nr	Athlete	NOC	R1	SF	Final			
1	2170	Usain Bolt	JAM	20.39 (1 h1)	20.18 (1 h2)	19.32 (1)	Gold		
2	2169	Yohan Blake	JAM	20.38 (1 h4)	20.01 (1 h1)	19.44 (2)	Silver		
3	2191	Warren Weir	JAM	20.29 (1 h5)	20.28 (2 h3)	19.84 (3)	Bronze		
4	3253	Wallace Spearmon	USA	20.47 (2 h6)	20.02 (2 h1)	19.90 (4)			
5	2547	Churandy Martina	NED	20.58 (1 h7)	20.17 (1 h3)	20.00 (5)			
6	1759	Christophe Lemaître	FRA	20.34 (1 h2)	20.03 (3 h1)	20.19 (6)			
7	1576	Álex Quiñónez	ECU	20.28 (1 h6)	20.37 (3 h2)	20.57 (7)			
8	2783	Anaso Jobodwana	RSA	20.46 (2 h2)	20.27 (2 h2)	20.69 (8)			
3 h3 r2/3	1820	Christian Malcolm	GBR	20.59 (2 h3)	20.51 (3 h3)	–			
4 h1 r2/3	2598	Jaysuma Saidy Ndure	NOR	20.52 (3 h4)	20.42 (4 h1)	–			
4 h2 r2/3	1283	Aaron Brown	CAN	20.55 (3 h2)	20.42 (4 h2)	–			
4 h3 r2/3	3240	Maurice Mitchell	USA	20.54 (1 h3)	20.56 (4 h3)	–			
5 h1 r2/3	1987	Likourgos Tsakonas	GRE	20.56 (4 h2)	20.52 (5 h1)	–			
5 h2 r2/3	1220	Aldemir Gomes	BRA	20.53 (2 h1)	20.63 (5 h2)	–			
5 h3 r2/3	1017	Brendan Christian	ANT	20.63 (4 h6)	20.58 (5 h3)	–			
6 h1 r2/3	1224	Bruno Lins	BRA	20.52 (2 h4)	20.55 (6 h1)	–			
6 h2 r2/3	2654	Kamil Kryński	POL	20.66 (3 h5)	20.83 (6 h2)	–			
6 h3 r2/3	2236	Shinji Takahira	JPN	20.57 (3 h6)	20.77 (6 h3)	–			
7 h1 r2/3	1284	Jared Connaughton	CAN	20.72 (3 h7)	20.64 (7 h1)	–			
7 h2 r2/3	2973	Alex Wilson	SUI	20.57 (4 h1)	20.85 (7 h2)	–			
8 h1 r2/3	2237	Kei Takase	JPN	20.72 (2 h7)	20.70 (8 h1)	–			
8 h2 r2/3	3264	Isiah Young	USA	20.55 (3 h1)	20.89 (8 h2)	–			
AC h3 r2/3	2919	Antoine Adams	SKN	20.59 (2 h5)	20.85 (AC h3)	–			
AC h3 r2/3	1104	Michael Mathieu	BAH	20.62 (3 h3)	– (AC h3)	–
