Pos	Nr	Athlete	NOC	R1	SF	Final			
1	903	Elaine Thompson	JAM	22.63 (2 h4)	22.13 (2 h1)	21.78 (1)	Gold		
2	1039	Dafne Schippers	NED	22.51 (1 h1)	21.96 (1 h1)	21.88 (2)	Silver		
3	1326	Tori Bowie	USA	22.47 (1 h8)	22.13 (1 h3)	22.15 (3)	Bronze		
4	540	Marie-Josée Ta Lou	CIV	22.31 (1 h4)	22.28 (1 h2)	22.21 (4)			
5	695	Dina Asher-Smith	GBR	22.77 (2 h5)	22.49 (4 h1)	22.31 (5)			
6	1245	Michelle-Lee Ahye	TTO	22.50 (1 h3)	22.25 (2 h3)	22.34 (6)			
7	1374	Deajah Stevens	USA	22.45 (1 h6)	22.38 (3 h1)	22.65 (7)			
8	458	Ivet Lalova-Collio	BUL	22.61 (1 h7)	22.42 (2 h2)	22.69 (8)			
3 h2 r2/3	334	Ella Nelson	AUS	22.66 (2 h7)	22.50 (3 h2)	–			
3 h3 r2/3	885	Simone Facey	JAM	22.78 (2 h3)	22.57 (3 h3)	–			
4 h2 r2/3	1365	Jenna Prandini	USA	22.62 (1 h2)	22.55 (4 h2)	–			
4 h3 r2/3	539	Murielle Ahouré	CIV	22.52 (2 h8)	22.59 (4 h3)	–			
5 h1 r2/3	1059	Blessing Okagbare	NGR	22.71 (1 h5)	22.69 (5 h1)	–			
5 h2 r2/3	1300	Nataliya Pohrebniak	UKR	22.64 (2 h1)	22.81 (5 h2)	–			
5 h3 r2/3	762	Gina Lückenkemper	GER	22.80 (3 h4)	22.73 (5 h3)	–			
6 h1 r2/3	1206	Mujinga Kambundji	SUI	22.78 (3 h8)	22.83 (6 h1)	–			
6 h2 r2/3	1249	Semoy Hackett	TTO	22.78 (2 h9)	22.94 (6 h2)	–			
6 h3 r2/3	454	Edidiong Odiong	BRN	22.74 (1 h9)	22.84 (6 h3)	–			
7 h1 r2/3	763	Lisa Mayer	GER	22.86 (2 h2)	22.90 (7 h1)	–			
7 h2 r2/3	613	Ángela Tenorio	ECU	22.94 (4 h2)	22.99 (7 h2)	–			
7 h3 r2/3	1400	Nercely Soto	VEN	22.89 (2 h6)	22.88 (7 h3)	–			
8 h1 r2/3	360	Tynia Gaither	BAH	22.90 (3 h2)	23.45 (8 h1)	–			
8 h2 r2/3	731	Jodie Williams	GBR	22.69 (3 h7)	22.99 (8 h2)	–			
8 h3 r2/3	474	Crystal Emmanuel	CAN	22.80 (3 h1)	23.05 (8 h3)	–
